Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000013810,TACC3,-1.69E-01,-2.67E-01,-6.98E-02,6.79E-01,-3.352,8.55E-04,3.43E-02,-0.7619257
ENSG00000152932,RAB3C,1.60E-01,6.63E-02,2.54E-01,8.621,3.351,8.58E-04,3.43E-02,-0.9191644
ENSG00000188542,DUSP28,-7.54E-02,-1.20E-01,-3.12E-02,2.679,-3.349,8.63E-04,3.44E-02,-0.7598434
ENSG00000230333,.,1.73E-01,7.16E-02,2.75E-01,4.18E-01,3.347,8.69E-04,3.45E-02,-0.786383
ENSG00000151655,ITIH2,-3.04E-01,-4.82E-01,-1.26E-01,8.58E-01,-3.347,8.71E-04,3.45E-02,-0.7606118
ENSG00000106648,GALNTL5,-1.86E-01,-2.95E-01,-7.67E-02,1.578,-3.346,8.73E-04,3.45E-02,-0.7491924
ENSG00000002587,HS3ST1,-1.01E-01,-1.61E-01,-4.18E-02,2.917,-3.345,8.77E-04,3.46E-02,-0.7848904
ENSG00000113657,DPYSL3,8.28E-02,3.42E-02,1.31E-01,6.692,3.344,8.80E-04,3.47E-02,-0.951611
ENSG00000090539,CHRD,-1.12E-01,-1.77E-01,-4.60E-02,5.398,-3.343,8.82E-04,3.47E-02,-0.9245499
ENSG00000110880,CORO1C,5.54E-02,2.28E-02,8.79E-02,6.359,3.341,8.89E-04,3.48E-02,-0.9584349
ENSG00000152601,MBNL1,6.84E-02,2.82E-02,1.09E-01,7.615,3.34,8.93E-04,3.48E-02,-0.9627359
ENSG00000173627,APOBEC4,1.93E-01,7.94E-02,3.06E-01,1.397,3.339,8.97E-04,3.48E-02,-0.7737175
ENSG00000197912,SPG7,-7.72E-02,-1.23E-01,-3.18E-02,6.2,-3.339,8.97E-04,3.48E-02,-0.9617672
ENSG00000127903,ZNF835,-1.10E-01,-1.74E-01,-4.52E-02,2.88,-3.338,8.97E-04,3.48E-02,-0.8024709
ENSG00000158615,PPP1R15B,7.14E-02,2.94E-02,1.14E-01,6.371,3.336,9.04E-04,3.50E-02,-0.974332
ENSG00000126861,OMG,-1.07E-01,-1.69E-01,-4.38E-02,7.114,-3.334,9.11E-04,3.52E-02,-0.9818621
ENSG00000101938,CHRDL1,1.10E-01,4.50E-02,1.74E-01,5.791,3.334,9.12E-04,3.52E-02,-0.9687073
ENSG00000260409,.,3.01E-01,1.24E-01,4.79E-01,-7.16E-02,3.332,9.19E-04,3.53E-02,-0.8692872
ENSG00000235098,ANKRD65,-1.99E-01,-3.16E-01,-8.16E-02,2.568,-3.33,9.25E-04,3.55E-02,-0.8137141
ENSG00000266878,.,1.84E-01,7.53E-02,2.92E-01,3.232,3.328,9.30E-04,3.55E-02,-0.8546697
ENSG00000130176,CNN1,-1.80E-01,-2.86E-01,-7.36E-02,1.288,-3.328,9.32E-04,3.55E-02,-0.8069051
ENSG00000166181,API5,7.79E-02,3.19E-02,1.24E-01,6.424,3.327,9.33E-04,3.55E-02,-1.0020172
ENSG00000143416,SELENBP1,-1.34E-01,-2.13E-01,-5.47E-02,4.359,-3.325,9.41E-04,3.58E-02,-0.9318192
ENSG00000122884,P4HA1,1.43E-01,5.86E-02,2.28E-01,5.372,3.323,9.47E-04,3.59E-02,-0.9924812
ENSG00000225953,SATB2-AS1,-1.12E-01,-1.78E-01,-4.55E-02,2.405,-3.319,9.60E-04,3.63E-02,-0.8418837
ENSG00000235944,ZNF815P,-9.42E-02,-1.50E-01,-3.84E-02,3.345,-3.317,9.66E-04,3.65E-02,-0.8915766
ENSG00000176435,CLEC14A,-1.53E-01,-2.44E-01,-6.25E-02,2.255,-3.316,9.69E-04,3.65E-02,-0.846256
ENSG00000166159,LRTM2,-1.32E-01,-2.09E-01,-5.35E-02,4.089,-3.313,9.80E-04,3.68E-02,-0.9495186
ENSG00000168813,ZNF507,7.76E-02,3.16E-02,1.24E-01,6.137,3.313,9.81E-04,3.68E-02,-1.0447629
ENSG00000197562,RAB40C,-1.16E-01,-1.85E-01,-4.71E-02,4.832,-3.312,9.86E-04,3.69E-02,-0.9977195
ENSG00000184731,FAM110C,1.07E-01,4.37E-02,1.71E-01,3.748,3.309,9.94E-04,3.71E-02,-0.9455674
ENSG00000161813,LARP4,7.45E-02,3.03E-02,1.19E-01,6.623,3.308,9.98E-04,3.71E-02,-1.0644635
ENSG00000124225,PMEPA1,8.76E-02,3.56E-02,1.40E-01,5.173,3.308,1.00E-03,3.71E-02,-1.0312653
ENSG00000144040,SFXN5,-1.18E-01,-1.88E-01,-4.79E-02,7.076,-3.306,1.00E-03,3.72E-02,-1.0695275
ENSG00000146066,HIGD2A,-1.17E-01,-1.87E-01,-4.75E-02,3.766,-3.304,1.01E-03,3.74E-02,-0.9588735
ENSG00000115274,INO80B,-1.09E-01,-1.74E-01,-4.40E-02,3.944,-3.299,1.03E-03,3.80E-02,-0.9834702
ENSG00000198743,SLC5A3,1.68E-01,6.79E-02,2.68E-01,7.622,3.298,1.03E-03,3.81E-02,-1.0943937
ENSG00000114439,BBX,8.19E-02,3.31E-02,1.31E-01,7.098,3.297,1.04E-03,3.81E-02,-1.0988286
ENSG00000169116,PARM1,1.10E-01,4.44E-02,1.75E-01,7.226,3.295,1.05E-03,3.84E-02,-1.1063163
ENSG00000103642,LACTB,7.52E-02,3.03E-02,1.20E-01,3.711,3.293,1.05E-03,3.84E-02,-0.9949505
ENSG00000125629,INSIG2,9.33E-02,3.76E-02,1.49E-01,5.508,3.292,1.06E-03,3.84E-02,-1.0942839
ENSG00000121210,KIAA0922,9.72E-02,3.92E-02,1.55E-01,3.114,3.292,1.06E-03,3.84E-02,-0.9577278
ENSG00000182700,IGIP,9.23E-02,3.72E-02,1.47E-01,6.919,3.291,1.06E-03,3.84E-02,-1.1177282
ENSG00000107854,TNKS2,5.76E-02,2.32E-02,9.20E-02,7.265,3.291,1.06E-03,3.84E-02,-1.1175707
ENSG00000206140,TMEM191C,-1.69E-01,-2.69E-01,-6.79E-02,2.036,-3.29,1.07E-03,3.84E-02,-0.9206136
ENSG00000147852,VLDLR,8.80E-02,3.54E-02,1.41E-01,4.612,3.289,1.07E-03,3.84E-02,-1.0620604
ENSG00000095574,IKZF5,1.21E-01,4.89E-02,1.94E-01,5.266,3.288,1.07E-03,3.84E-02,-1.0956796
ENSG00000213753,RPL23AP79,-7.19E-02,-1.15E-01,-2.89E-02,5.228,-3.288,1.07E-03,3.84E-02,-1.0905562
ENSG00000133107,TRPC4,8.19E-02,3.30E-02,1.31E-01,3.025,3.288,1.07E-03,3.84E-02,-0.9646459
ENSG00000204278,TMEM235,-2.52E-01,-4.03E-01,-1.01E-01,2.692,-3.286,1.08E-03,3.84E-02,-0.9517025
ENSG00000174165,ZDHHC24,-1.13E-01,-1.80E-01,-4.53E-02,2.896,-3.286,1.08E-03,3.84E-02,-0.9609161
ENSG00000251396,.,1.68E-01,6.75E-02,2.68E-01,8.25E-01,3.286,1.08E-03,3.84E-02,-0.9422496
ENSG00000027847,B4GALT7,-9.04E-02,-1.45E-01,-3.63E-02,3.675,-3.283,1.09E-03,3.87E-02,-1.0175121
ENSG00000171262,FAM98B,1.03E-01,4.13E-02,1.65E-01,5.565,3.281,1.10E-03,3.89E-02,-1.1303255
ENSG00000149557,FEZ1,-7.95E-02,-1.27E-01,-3.19E-02,7.959,-3.278,1.11E-03,3.92E-02,-1.1548667
ENSG00000165983,PTER,1.34E-01,5.38E-02,2.15E-01,6.863,3.277,1.11E-03,3.93E-02,-1.1619765
ENSG00000163320,CGGBP1,8.51E-02,3.41E-02,1.36E-01,6.818,3.276,1.12E-03,3.94E-02,-1.1658867
ENSG00000166206,GABRB3,1.09E-01,4.37E-02,1.75E-01,7.795,3.275,1.12E-03,3.94E-02,-1.1650488
ENSG00000100320,RBFOX2,8.76E-02,3.50E-02,1.40E-01,8.136,3.274,1.12E-03,3.94E-02,-1.1656913
ENSG00000136040,PLXNC1,7.89E-02,3.16E-02,1.26E-01,6.403,3.274,1.13E-03,3.94E-02,-1.1695872
ENSG00000073670,ADAM11,-1.07E-01,-1.72E-01,-4.29E-02,6.024,-3.273,1.13E-03,3.95E-02,-1.1627379
ENSG00000135441,BLOC1S1,-1.29E-01,-2.06E-01,-5.16E-02,4.31,-3.272,1.13E-03,3.95E-02,-1.0935023
ENSG00000101126,ADNP,6.34E-02,2.53E-02,1.02E-01,6.976,3.271,1.13E-03,3.95E-02,-1.1799567
ENSG00000187231,SESTD1,8.20E-02,3.28E-02,1.31E-01,7.345,3.271,1.14E-03,3.95E-02,-1.1807603
ENSG00000170616,SCRT1,-2.09E-01,-3.35E-01,-8.35E-02,2.432,-3.27,1.14E-03,3.95E-02,-0.990223
ENSG00000124209,RAB22A,9.23E-02,3.69E-02,1.48E-01,7.261,3.269,1.14E-03,3.95E-02,-1.1869378
ENSG00000117592,PRDX6,-9.74E-02,-1.56E-01,-3.89E-02,6.725,-3.268,1.15E-03,3.96E-02,-1.1889768
ENSG00000117595,IRF6,-2.06E-01,-3.30E-01,-8.21E-02,2.61E-01,-3.267,1.15E-03,3.96E-02,-1.020427
ENSG00000159348,CYB5R1,-8.10E-02,-1.30E-01,-3.23E-02,4.674,-3.265,1.16E-03,3.97E-02,-1.1351391
ENSG00000205363,C15orf59,-1.18E-01,-1.89E-01,-4.69E-02,5.141,-3.265,1.16E-03,3.97E-02,-1.1558921
ENSG00000261597,.,1.09E-01,4.33E-02,1.74E-01,4.026,3.263,1.17E-03,3.99E-02,-1.106145
ENSG00000175073,VCPIP1,8.88E-02,3.53E-02,1.42E-01,7.502,3.26,1.18E-03,4.02E-02,-1.2123349
ENSG00000070495,JMJD6,1.26E-01,5.02E-02,2.02E-01,4.825,3.259,1.18E-03,4.03E-02,-1.1654796
ENSG00000169760,NLGN1,7.53E-02,2.99E-02,1.21E-01,6.428,3.259,1.19E-03,4.03E-02,-1.2166608
ENSG00000186448,ZNF197,5.64E-02,2.24E-02,9.04E-02,5.347,3.258,1.19E-03,4.03E-02,-1.194506
ENSG00000104979,C19orf53,-1.07E-01,-1.72E-01,-4.26E-02,4.608,-3.256,1.19E-03,4.03E-02,-1.158324
ENSG00000186715,MST1L,2.43E-01,9.64E-02,3.90E-01,8.54E-01,3.256,1.20E-03,4.03E-02,-1.0264411
ENSG00000197619,ZNF615,6.95E-02,2.76E-02,1.11E-01,5.134,3.256,1.20E-03,4.03E-02,-1.1914139
ENSG00000101746,NOL4,6.96E-02,2.76E-02,1.12E-01,5.95,3.255,1.20E-03,4.04E-02,-1.2196858
ENSG00000167515,TRAPPC2L,-8.93E-02,-1.43E-01,-3.54E-02,4.833,-3.254,1.20E-03,4.04E-02,-1.1763886
ENSG00000167114,SLC27A4,-9.09E-02,-1.46E-01,-3.60E-02,4.877,-3.253,1.21E-03,4.06E-02,-1.1834903
ENSG00000164134,NAA15,7.31E-02,2.90E-02,1.17E-01,6.019,3.252,1.21E-03,4.06E-02,-1.2321753
ENSG00000181350,FAM211A,-9.78E-02,-1.57E-01,-3.87E-02,3.087,-3.251,1.22E-03,4.07E-02,-1.0789811
ENSG00000176248,ANAPC2,-9.42E-02,-1.51E-01,-3.72E-02,4.04,-3.247,1.23E-03,4.11E-02,-1.1508718
ENSG00000010295,IFFO1,-9.17E-02,-1.47E-01,-3.62E-02,4.453,-3.246,1.24E-03,4.11E-02,-1.1800859
ENSG00000183048,SLC25A10,-1.50E-01,-2.40E-01,-5.90E-02,1.218,-3.246,1.24E-03,4.12E-02,-1.0466197
ENSG00000152242,C18orf25,5.93E-02,2.34E-02,9.52E-02,5.958,3.244,1.25E-03,4.12E-02,-1.254229
ENSG00000184575,XPOT,6.04E-02,2.39E-02,9.70E-02,7.349,3.244,1.25E-03,4.12E-02,-1.2643853
ENSG00000213762,ZNF134,5.52E-02,2.18E-02,8.86E-02,4.812,3.242,1.26E-03,4.14E-02,-1.2179002
ENSG00000129538,RNASE1,-2.03E-01,-3.26E-01,-8.01E-02,5.798,-3.242,1.26E-03,4.14E-02,-1.2551397
ENSG00000104047,DTWD1,7.75E-02,3.05E-02,1.25E-01,4.638,3.239,1.27E-03,4.17E-02,-1.2191847
ENSG00000108061,SHOC2,6.87E-02,2.70E-02,1.10E-01,7.279,3.238,1.27E-03,4.17E-02,-1.2830831
ENSG00000184451,CCR10,-1.74E-01,-2.79E-01,-6.84E-02,7.50E-01,-3.236,1.28E-03,4.19E-02,-1.0859543
ENSG00000198730,CTR9,6.50E-02,2.56E-02,1.05E-01,5.416,3.236,1.28E-03,4.19E-02,-1.2662178
ENSG00000261455,.,-1.68E-01,-2.70E-01,-6.60E-02,2.46,-3.235,1.29E-03,4.19E-02,-1.0977695
ENSG00000127870,RNF6,7.41E-02,2.91E-02,1.19E-01,6.595,3.234,1.29E-03,4.19E-02,-1.2925177
ENSG00000163611,SPICE1,8.59E-02,3.37E-02,1.38E-01,4.806,3.233,1.29E-03,4.19E-02,-1.2456181
ENSG00000113356,POLR3G,1.01E-01,3.95E-02,1.62E-01,3.311,3.233,1.30E-03,4.19E-02,-1.1488568
ENSG00000175906,ARL4D,-1.71E-01,-2.75E-01,-6.71E-02,2.834,-3.232,1.30E-03,4.20E-02,-1.1246174
ENSG00000152954,NRSN1,1.19E-01,4.66E-02,1.91E-01,6.188,3.229,1.31E-03,4.23E-02,-1.3045574
ENSG00000126934,MAP2K2,-9.58E-02,-1.54E-01,-3.75E-02,5.62,-3.229,1.31E-03,4.23E-02,-1.2882915
ENSG00000122958,VPS26A,7.71E-02,3.02E-02,1.24E-01,6.018,3.226,1.33E-03,4.25E-02,-1.3115546
ENSG00000140474,ULK3,-8.96E-02,-1.44E-01,-3.50E-02,5.071,-3.226,1.33E-03,4.25E-02,-1.2759875
ENSG00000164040,PGRMC2,7.94E-02,3.11E-02,1.28E-01,5.62,3.226,1.33E-03,4.25E-02,-1.3028103
ENSG00000117308,GALE,-9.80E-02,-1.58E-01,-3.83E-02,3.532,-3.225,1.33E-03,4.25E-02,-1.1835617
ENSG00000129255,MPDU1,-8.76E-02,-1.41E-01,-3.42E-02,4.381,-3.221,1.35E-03,4.31E-02,-1.2555786
ENSG00000135823,STX6,4.38E-02,1.71E-02,7.05E-02,6.711,3.217,1.37E-03,4.35E-02,-1.3475227
ENSG00000182054,IDH2,-1.02E-01,-1.64E-01,-3.96E-02,6.106,-3.216,1.37E-03,4.35E-02,-1.3408425
ENSG00000130635,COL5A1,-1.77E-01,-2.85E-01,-6.89E-02,2.084,-3.216,1.37E-03,4.35E-02,-1.1365725
ENSG00000114021,NIT2,-1.00E-01,-1.61E-01,-3.89E-02,4.383,-3.215,1.38E-03,4.35E-02,-1.2710759
ENSG00000151746,BICD1,8.79E-02,3.42E-02,1.42E-01,6.654,3.214,1.38E-03,4.35E-02,-1.3571997
ENSG00000122679,RAMP3,-1.78E-01,-2.87E-01,-6.92E-02,2.207,-3.213,1.39E-03,4.35E-02,-1.1506765
ENSG00000167468,GPX4,-1.07E-01,-1.72E-01,-4.14E-02,6.409,-3.212,1.39E-03,4.35E-02,-1.3545607
ENSG00000168806,LCMT2,-7.57E-02,-1.22E-01,-2.94E-02,3.617,-3.212,1.39E-03,4.35E-02,-1.2312588
ENSG00000197959,DNM3,8.85E-02,3.44E-02,1.43E-01,8.55,3.212,1.39E-03,4.35E-02,-1.3537021
ENSG00000135744,AGT,-1.50E-01,-2.42E-01,-5.83E-02,6.97,-3.212,1.39E-03,4.35E-02,-1.3640114
ENSG00000169967,MAP3K2,7.69E-02,2.99E-02,1.24E-01,7.034,3.211,1.40E-03,4.35E-02,-1.3652196
ENSG00000267940,.,1.43E-01,5.53E-02,2.30E-01,1.498,3.21,1.40E-03,4.37E-02,-1.1463573
ENSG00000255571,.,-9.49E-02,-1.53E-01,-3.68E-02,3.692,-3.209,1.41E-03,4.37E-02,-1.2417695
ENSG00000176209,C8orf40,-7.93E-02,-1.28E-01,-3.07E-02,4.29,-3.207,1.42E-03,4.40E-02,-1.2929278
ENSG00000160783,PMF1,-1.19E-01,-1.92E-01,-4.60E-02,2.869,-3.205,1.42E-03,4.41E-02,-1.2048133
ENSG00000104524,PYCRL,-1.47E-01,-2.36E-01,-5.67E-02,3.613,-3.205,1.43E-03,4.41E-02,-1.2495323
ENSG00000261050,.,1.44E-01,5.57E-02,2.32E-01,4.939,3.205,1.43E-03,4.41E-02,-1.3390704
ENSG00000178980,SEPW1,-1.15E-01,-1.86E-01,-4.45E-02,7.802,-3.204,1.43E-03,4.41E-02,-1.3837073
ENSG00000236194,.,1.59E-01,6.14E-02,2.56E-01,3.41E-01,3.202,1.44E-03,4.42E-02,-1.1947659
ENSG00000174197,MGA,5.74E-02,2.22E-02,9.27E-02,7.98,3.2,1.45E-03,4.45E-02,-1.3950012
ENSG00000139117,CPNE8,9.21E-02,3.56E-02,1.49E-01,5.548,3.199,1.46E-03,4.45E-02,-1.3823241
ENSG00000143140,GJA5,-2.57E-01,-4.15E-01,-9.93E-02,7.41E-01,-3.199,1.46E-03,4.45E-02,-1.1902159
ENSG00000049089,COL9A2,-1.60E-01,-2.59E-01,-6.19E-02,4.674,-3.198,1.46E-03,4.45E-02,-1.3407741
ENSG00000141298,SSH2,8.40E-02,3.24E-02,1.36E-01,5.708,3.197,1.47E-03,4.47E-02,-1.3946866
ENSG00000150967,ABCB9,-9.65E-02,-1.56E-01,-3.72E-02,4.314,-3.196,1.47E-03,4.47E-02,-1.3243711
ENSG00000017483,SLC38A5,-2.25E-01,-3.63E-01,-8.65E-02,2.356,-3.195,1.47E-03,4.47E-02,-1.21026
ENSG00000085224,ATRX,7.62E-02,2.94E-02,1.23E-01,8.542,3.195,1.48E-03,4.47E-02,-1.4061234
ENSG00000218336,TENM3,9.89E-02,3.81E-02,1.60E-01,6.626,3.194,1.48E-03,4.47E-02,-1.4154893
ENSG00000214253,FIS1,-1.17E-01,-1.89E-01,-4.51E-02,6.271,-3.193,1.49E-03,4.48E-02,-1.4119641
ENSG00000144504,ANKMY1,-1.20E-01,-1.93E-01,-4.61E-02,2.643,-3.193,1.49E-03,4.48E-02,-1.2252136
ENSG00000179178,TMEM125,-2.45E-01,-3.96E-01,-9.42E-02,3.151,-3.192,1.49E-03,4.48E-02,-1.260849
ENSG00000135363,LMO2,-1.68E-01,-2.71E-01,-6.46E-02,3.943,-3.191,1.50E-03,4.49E-02,-1.3174154
ENSG00000122490,PQLC1,-1.05E-01,-1.70E-01,-4.05E-02,5.786,-3.189,1.51E-03,4.50E-02,-1.4137962
ENSG00000158717,RNF166,-1.03E-01,-1.66E-01,-3.95E-02,2.995,-3.189,1.51E-03,4.50E-02,-1.2593357
ENSG00000115904,SOS1,9.22E-02,3.54E-02,1.49E-01,6.182,3.189,1.51E-03,4.50E-02,-1.429768
ENSG00000138071,ACTR2,9.68E-02,3.71E-02,1.56E-01,7.753,3.188,1.51E-03,4.50E-02,-1.4341306
ENSG00000180720,CHRM4,-1.61E-01,-2.61E-01,-6.19E-02,1.427,-3.187,1.52E-03,4.50E-02,-1.211372
ENSG00000204228,HSD17B8,-1.71E-01,-2.77E-01,-6.57E-02,1.833,-3.187,1.52E-03,4.50E-02,-1.2164652
ENSG00000109189,USP46,7.30E-02,2.80E-02,1.18E-01,7.46,3.186,1.52E-03,4.50E-02,-1.4398883
ENSG00000089916,GPATCH2L,6.67E-02,2.56E-02,1.08E-01,7.363,3.185,1.53E-03,4.52E-02,-1.4452156
ENSG00000160551,TAOK1,6.79E-02,2.60E-02,1.10E-01,8.889,3.184,1.53E-03,4.53E-02,-1.436535
ENSG00000175455,CCDC14,9.46E-02,3.62E-02,1.53E-01,6.099,3.182,1.54E-03,4.54E-02,-1.4481386
ENSG00000135617,PRADC1,-1.02E-01,-1.65E-01,-3.91E-02,3.731,-3.182,1.54E-03,4.54E-02,-1.3286756
ENSG00000168067,MAP4K2,-8.93E-02,-1.45E-01,-3.41E-02,4.477,-3.178,1.56E-03,4.57E-02,-1.387767
ENSG00000092758,COL9A3,-1.66E-01,-2.69E-01,-6.35E-02,4.045,-3.177,1.57E-03,4.57E-02,-1.3626496
ENSG00000161642,ZNF385A,-1.66E-01,-2.68E-01,-6.33E-02,3.024,-3.177,1.57E-03,4.57E-02,-1.2916229
ENSG00000198482,ZNF808,8.19E-02,3.13E-02,1.32E-01,5.249,3.177,1.57E-03,4.57E-02,-1.4373188
ENSG00000156531,PHF6,6.06E-02,2.31E-02,9.80E-02,5.939,3.177,1.57E-03,4.57E-02,-1.4612603
ENSG00000136279,DBNL,-6.73E-02,-1.09E-01,-2.57E-02,6.569,-3.175,1.58E-03,4.57E-02,-1.4723478
ENSG00000198785,GRIN3A,1.02E-01,3.89E-02,1.65E-01,4.783,3.175,1.58E-03,4.57E-02,-1.4183134
ENSG00000257315,ZBED6,1.18E-01,4.49E-02,1.91E-01,4.794,3.175,1.58E-03,4.57E-02,-1.42117
ENSG00000130227,XPO7,5.65E-02,2.15E-02,9.14E-02,6.724,3.174,1.58E-03,4.57E-02,-1.4767773
ENSG00000136877,FPGS,-1.16E-01,-1.88E-01,-4.42E-02,3.147,-3.174,1.58E-03,4.57E-02,-1.310373
ENSG00000128585,MKLN1,6.85E-02,2.61E-02,1.11E-01,8.224,3.174,1.59E-03,4.57E-02,-1.4730448
ENSG00000251348,HSPD1P11,1.61E-01,6.13E-02,2.60E-01,1.111,3.174,1.59E-03,4.57E-02,-1.2510934
ENSG00000166166,TRMT61A,-1.10E-01,-1.78E-01,-4.18E-02,3.843,-3.172,1.59E-03,4.58E-02,-1.364254
ENSG00000177182,CLVS1,9.23E-02,3.52E-02,1.50E-01,4.691,3.172,1.60E-03,4.58E-02,-1.4236324
ENSG00000162551,ALPL,-1.78E-01,-2.89E-01,-6.79E-02,2.184,-3.172,1.60E-03,4.58E-02,-1.2695301
ENSG00000071537,SEL1L,5.72E-02,2.17E-02,9.27E-02,7.733,3.167,1.62E-03,4.64E-02,-1.4977802
ENSG00000197714,ZNF460,6.11E-02,2.32E-02,9.91E-02,6.987,3.166,1.63E-03,4.64E-02,-1.5024852
ENSG00000265148,BZRAP1-AS1,-1.52E-01,-2.47E-01,-5.78E-02,9.26E-02,-3.164,1.64E-03,4.64E-02,-1.3125065
ENSG00000149823,VPS51,-1.01E-01,-1.64E-01,-3.84E-02,6.209,-3.164,1.64E-03,4.64E-02,-1.4990412
ENSG00000178467,P4HTM,-8.39E-02,-1.36E-01,-3.18E-02,6.156,-3.163,1.64E-03,4.64E-02,-1.5017132
ENSG00000174516,PELI3,-9.73E-02,-1.58E-01,-3.69E-02,5.371,-3.163,1.64E-03,4.64E-02,-1.4779192
ENSG00000110876,SELPLG,-2.77E-01,-4.48E-01,-1.05E-01,2.332,-3.163,1.65E-03,4.64E-02,-1.30208
ENSG00000125611,CHCHD5,-1.34E-01,-2.18E-01,-5.09E-02,1.633,-3.163,1.65E-03,4.64E-02,-1.2815974
ENSG00000136731,UGGT1,5.96E-02,2.26E-02,9.67E-02,6.339,3.163,1.65E-03,4.64E-02,-1.5100279
ENSG00000196660,SLC30A10,9.87E-02,3.74E-02,1.60E-01,3.49,3.162,1.65E-03,4.64E-02,-1.3723192
ENSG00000160097,FNDC5,-9.50E-02,-1.54E-01,-3.60E-02,4.836,-3.161,1.65E-03,4.64E-02,-1.4570926
ENSG00000108424,KPNB1,4.87E-02,1.85E-02,7.90E-02,7.505,3.161,1.65E-03,4.64E-02,-1.5151058
ENSG00000169900,PYDC1,-2.08E-01,-3.37E-01,-7.87E-02,2.06E-01,-3.16,1.66E-03,4.66E-02,-1.3156519
ENSG00000229801,.,-2.25E-01,-3.65E-01,-8.51E-02,1.743,-3.158,1.67E-03,4.67E-02,-1.296364
ENSG00000102554,KLF5,1.31E-01,4.95E-02,2.13E-01,1.992,3.157,1.68E-03,4.68E-02,-1.3052547
ENSG00000099957,P2RX6,-1.08E-01,-1.76E-01,-4.10E-02,3.414,-3.157,1.68E-03,4.68E-02,-1.3793814
ENSG00000156675,RAB11FIP1,7.88E-02,2.98E-02,1.28E-01,3.881,3.155,1.69E-03,4.70E-02,-1.4206525
ENSG00000087053,MTMR2,7.28E-02,2.75E-02,1.18E-01,6.274,3.155,1.69E-03,4.70E-02,-1.5327772
ENSG00000157224,CLDN12,8.79E-02,3.31E-02,1.43E-01,5.842,3.154,1.70E-03,4.70E-02,-1.5279735
ENSG00000105701,FKBP8,-9.21E-02,-1.49E-01,-3.47E-02,7.98,-3.154,1.70E-03,4.70E-02,-1.5349643
ENSG00000106305,AIMP2,-9.97E-02,-1.62E-01,-3.76E-02,2.797,-3.153,1.70E-03,4.70E-02,-1.3535065
ENSG00000059728,MXD1,8.32E-02,3.13E-02,1.35E-01,5.087,3.15,1.72E-03,4.74E-02,-1.5106983
ENSG00000152409,JMY,6.85E-02,2.58E-02,1.11E-01,7.051,3.149,1.72E-03,4.74E-02,-1.5529184
ENSG00000141258,SGSM2,-8.90E-02,-1.45E-01,-3.35E-02,6.951,-3.149,1.72E-03,4.74E-02,-1.5522384
ENSG00000083838,ZNF446,-9.24E-02,-1.50E-01,-3.48E-02,3.033,-3.148,1.73E-03,4.75E-02,-1.3784299
ENSG00000157106,SMG1,8.06E-02,3.03E-02,1.31E-01,8.058,3.148,1.73E-03,4.75E-02,-1.5533343
ENSG00000164405,UQCRQ,-1.25E-01,-2.03E-01,-4.70E-02,6.212,-3.147,1.74E-03,4.75E-02,-1.5499154
ENSG00000151461,UPF2,7.51E-02,2.82E-02,1.22E-01,6.432,3.146,1.74E-03,4.75E-02,-1.5592763
ENSG00000183798,EMILIN3,-1.76E-01,-2.87E-01,-6.63E-02,2.103,-3.146,1.74E-03,4.76E-02,-1.3399292
ENSG00000147041,SYTL5,1.10E-01,4.12E-02,1.78E-01,4.19,3.145,1.75E-03,4.76E-02,-1.4709601
ENSG00000196632,WNK3,5.66E-02,2.12E-02,9.20E-02,6.069,3.142,1.77E-03,4.76E-02,-1.5675985
ENSG00000158711,ELK4,8.93E-02,3.35E-02,1.45E-01,5.85,3.142,1.77E-03,4.76E-02,-1.5646499
ENSG00000148341,SH3GLB2,-8.48E-02,-1.38E-01,-3.18E-02,6.688,-3.141,1.77E-03,4.76E-02,-1.5751458
ENSG00000260412,.,1.32E-01,4.94E-02,2.14E-01,4.945,3.141,1.77E-03,4.76E-02,-1.5310984
ENSG00000143314,MRPL24,-1.00E-01,-1.63E-01,-3.75E-02,4.433,-3.14,1.77E-03,4.76E-02,-1.4982848
ENSG00000211456,SACM1L,7.42E-02,2.78E-02,1.21E-01,6.661,3.14,1.77E-03,4.76E-02,-1.5790953
ENSG00000167702,KIFC2,-1.19E-01,-1.94E-01,-4.47E-02,6.154,-3.14,1.78E-03,4.76E-02,-1.5709303
ENSG00000248455,.,-1.99E-01,-3.24E-01,-7.46E-02,1.049,-3.14,1.78E-03,4.76E-02,-1.3433114
ENSG00000055917,PUM2,7.23E-02,2.71E-02,1.18E-01,7.758,3.14,1.78E-03,4.76E-02,-1.5793403
ENSG00000251011,.,1.69E-01,6.31E-02,2.74E-01,2.449,3.138,1.79E-03,4.76E-02,-1.377421
ENSG00000128159,TUBGCP6,-9.89E-02,-1.61E-01,-3.70E-02,5.7,-3.138,1.79E-03,4.76E-02,-1.5663732
ENSG00000100614,PPM1A,8.20E-02,3.07E-02,1.33E-01,8.478,3.138,1.79E-03,4.76E-02,-1.5789786
ENSG00000188613,NANOS1,8.09E-02,3.03E-02,1.32E-01,2.788,3.137,1.80E-03,4.76E-02,-1.3993545
