Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000175287,PHYHD1,-2.00E-01,-2.99E-01,-1.01E-01,2.598,-3.965,8.25E-05,1.15E-02,1.2958945
ENSG00000137133,HINT2,-1.30E-01,-1.95E-01,-6.58E-02,2.935,-3.963,8.34E-05,1.15E-02,1.2867471
ENSG00000115020,PIKFYVE,6.08E-02,3.06E-02,9.10E-02,7.357,3.959,8.47E-05,1.15E-02,1.1765555
ENSG00000052795,FNIP2,9.02E-02,4.55E-02,1.35E-01,7.042,3.959,8.48E-05,1.15E-02,1.174625
ENSG00000165879,FRAT1,-1.60E-01,-2.39E-01,-8.05E-02,2.048,-3.957,8.55E-05,1.15E-02,1.2507082
ENSG00000184611,KCNH7,1.16E-01,5.83E-02,1.73E-01,5.596,3.955,8.62E-05,1.15E-02,1.1739371
ENSG00000180957,PITPNB,1.27E-01,6.36E-02,1.90E-01,5.931,3.945,8.96E-05,1.18E-02,1.1314879
ENSG00000063322,MED29,-1.12E-01,-1.67E-01,-5.60E-02,5.587,-3.945,8.98E-05,1.18E-02,1.1383533
ENSG00000003137,CYP26B1,-1.89E-01,-2.83E-01,-9.46E-02,3.617,-3.941,9.12E-05,1.19E-02,1.1937274
ENSG00000068078,FGFR3,-1.94E-01,-2.91E-01,-9.69E-02,6.843,-3.929,9.55E-05,1.24E-02,1.0674816
ENSG00000125503,PPP1R12C,-1.32E-01,-1.98E-01,-6.60E-02,5.804,-3.927,9.64E-05,1.24E-02,1.0701522
ENSG00000096746,HNRNPH3,1.31E-01,6.55E-02,1.97E-01,5.14,3.925,9.70E-05,1.24E-02,1.0785064
ENSG00000139154,AEBP2,9.51E-02,4.74E-02,1.43E-01,6.215,3.914,1.02E-04,1.28E-02,1.0116483
ENSG00000057593,F7,-2.19E-01,-3.29E-01,-1.09E-01,2.35E-01,-3.914,1.02E-04,1.28E-02,0.9373019
ENSG00000178162,.,1.26E-01,6.27E-02,1.90E-01,4.806,3.909,1.04E-04,1.29E-02,1.0292123
ENSG00000176022,B3GALT6,-1.24E-01,-1.87E-01,-6.17E-02,3.585,-3.901,1.07E-04,1.33E-02,1.0484919
ENSG00000157450,RNF111,8.29E-02,4.11E-02,1.25E-01,6.217,3.895,1.10E-04,1.35E-02,0.94091
ENSG00000139915,MDGA2,8.48E-02,4.20E-02,1.28E-01,6.018,3.892,1.11E-04,1.35E-02,0.9335275
ENSG00000184207,PGP,-1.13E-01,-1.71E-01,-5.61E-02,5.088,-3.891,1.11E-04,1.35E-02,0.9580006
ENSG00000172667,ZMAT3,1.01E-01,4.99E-02,1.52E-01,8.068,3.887,1.13E-04,1.35E-02,0.9132075
ENSG00000153989,NUS1,1.04E-01,5.12E-02,1.56E-01,6.199,3.887,1.14E-04,1.35E-02,0.9119778
ENSG00000237517,DGCR5,-1.38E-01,-2.07E-01,-6.80E-02,6.072,-3.884,1.15E-04,1.35E-02,0.9068919
ENSG00000170955,PRKCDBP,-2.47E-01,-3.73E-01,-1.22E-01,6.36E-01,-3.879,1.17E-04,1.37E-02,0.8754108
ENSG00000178741,COX5A,-1.09E-01,-1.65E-01,-5.38E-02,5.509,-3.874,1.20E-04,1.39E-02,0.881443
