hill2019,davies2018,sniekers2017,savage2018,hatoum2022
CYSTM1,SGCZ,,TUSC2,FAM120A
HIST1H4J,HBEGF,,NPRL2,PTPRD
HBEGF,LSM4,,CACNA2D2,PHF20
ERBB3,ERBB3,,C3orf18,NCAM1
HIST1H3A,CYSTM1,,MAPKAPK3,APOPT1
MAPT,RAB11FIP5,,DOCK3,NPAS1
HIST1H2AJ,GATAD2B,,PCBP4,SORCS3
SBK1,CADM2,,ALAS1,IST1
KDM4A,RPL15,,TWF2,MAST3
PET112,CUL9,,PPM1M,MPHOSPH9
DHRS11,NPIPB6,,WDR82,FAM76B
CEP57,GADD45G,,GLYCTK,HABP4
GLCCI1,SLC39A1,,DNAH1,PTPRF
C3orf62,CALN1,,BAP1,NME9
NYAP2,RHEBL1,,PHF7,ARIH2
IFT81,CRTC2,,TNNC1,EP300
SETD8,LAMB2,,NISCH,NPM3
NFATC2IP,NRL,,STAB1,NOVA1
FAM76B,ALMS1,,NT5DC2,EEA1
HIST1H4B,MTMR4,,SMIM4,PRKAR2A
C17orf47,FBXL15,,PBRM1,SLC38A3
CDK2AP1,JMJD1C,,GNL3,BTN1A1
EXT1,CNBD2,,GLT8D1,GRIA4
AMIGO1,RAB5B,,SPCS1,CPNE1
NDUFAF2,CAMK2N1,,NEK4,SMPD3
LARGE,BTN3A3,,ITIH1,SIX3
ABCB9,SPPL2A,,ITIH3,MED27
SORCS3,SPAG4,,ITIH4,GCC1
RPL15,SMG7,,MUSTN1,ZSWIM6
TEX14,CPNE1,,TMEM110-MUSTN1,HARS
DBN1,IL17D,,TMEM110,DDX27
HIST1H3C,CELSR3,,SFMBT1,TCF20
MTMR4,CLCN2,,RFT1,CAMKMT
BMPR2,RUNX1T1,,CACNA2D3,RIMS2
PPM1E,CREB3L4,,FOXP1,SCG3
BARHL2,SHISA4,,CADM2,PURG
ZMIZ2,CCDC36,,EPHA3,LRPPRC
MTMR2,PCK2,,PROS1,RAD51C
ATP2A2,IMPDH2,,ARL13B,WDR55
HIST1H2BB,N6AMT2,,STX19,LAMB2
DPH2,DHRS11,,DHFRL1,SLC26A6
PCDH17,LRRC4,,NSUN3,RBM12
SMIM4,ARTN,,HHLA2,ADGRB1
RNF43,EXT1,,MYH15,PDE4D
NDUFAF3,AFF3,,KIAA1524,DENND4B
Sep-03,NAGA,,DZIP3,MTMR2
NPIPB6,NUPR1,,PPP2R3A,CAMTA1
TAB1,TAB1,,MSL2,CPD
TCTN1,PTPRT,,PCCB,WRN
GGNBP2,TNIP2,,STAG1,KCNJ3
ATP6V0B,PLCL1,,SLC35G2,MARK3
PURG,RBM12,,NCK1,LRRC14
PPA2,SMYD5,,IL20RB,CADM2
ZNF322,RPS26,,CLSTN2,LPP
WBP2NL,LRRC24,,TFDP2,HSF5
LAMB2,CACNA1I,,MYL5,RABGAP1L
HVCN1,ARID2,,MFSD7,SHANK3
ROPN1,TSNARE1,,PCGF3,CTNNB1
SMYD5,C8orf82,,GAK,GLCCI1
CADM2,SLC26A6,,DGKQ,NDUFA2
HABP4,AMIGO1,,ZFYVE28,EPHA3
HFE,HSF5,,RNF4,MRM1
NKIRAS1,PSMC3,,FAM193A,ZNHIT3
HIST1H1A,NDUFA6,,TNIP2,IKZF2
RAI1,SUOX,,SH3BP2,FGF8
VPS29,DALRD3,,TAPT1,MIEF1
ALMS1,SPI1,,LAP3,CENPW
C12orf76,CDH9,,MED28,MAML3
PRKD1,NDUFAF2,,DCAF16,FAM193A
ARID2,TRMT61A,,NCAPG,ZNFX1
TINAGL1,KIFC2,,LCORL,WNT3
LYL1,ZSCAN9,,CCDC149,SUPT4H1
ATF7IP,IPO9,,ANAPC4,NUP210L
NFIX,PHACTR3,,GRID2,IMPDH2
SMIM15,SMDT1,,STPG2,PSMC3
GLT8D1,ZKSCAN4,,BANK1,GPR26
LSM4,NCAM1,,SLC39A8,GCAT
NOTO,FAM154B,,TET2,C12orf65
PPTC7,JTB,,PPA2,PLXNA4
NCKIPSD,LRRC37A,,TTC29,ARMC1
TRMT61A,TLK2,,SH3D19,CHUK
ERCC8,ATXN1,,FAM160A1,ANKHD1-EIF4EBP3
ITIH3,RBFOX1,,PET112,MCU
ZNF821,NFS1,,ADCY2,CHADL
ZNF800,PAX4,,CDH9,HMGN1
MED27,CEP57,,PLK2,QARS
LUZP2,EEA1,,GAPT,NTRK3
SPCS1,QARS,,PDE4D,ANKHD1
VWC2L,ZSCAN31,,C5orf64,SRPK2
BTN3A3,CDK2,,SREK1IP1,PTPRO
CDH2,AVL9,,MEF2C,TAL1
GRIA4,IER5L,,NR2F1,SORBS1
GRIN2A,TMEM160,,PAM,GRM3
CUEDC2,FAM193A,,GIN1,ERAP2
RUNX1T1,NPIPB9,,PPIP5K2,FBXL17
SRPK2,SLC39A13,,C5orf30,ELAVL2
CACNA1D,NOTO,,FBXL17,L3MBTL2
RAD9B,SUPT4H1,,MAN2A1,PCDHAC1
ATXN1L,PRADC1,,NREP,TLK2
TRIM37,FAM109B,,IGIP,BTAF1
MAST4,MED27,,CYSTM1,Mar-05
PRADC1,DENND4B,,PFDN1,DND1
SUOX,ARHGAP15,,HBEGF,DLGAP1
IGF2BP1,SHISA9,,SLC4A9,ARHGAP27
DENND4A,GGNBP2,,ANKHD1,SPAST
FAM216A,SIX3,,ANKHD1-EIF4EBP3,MICU1
RAB5B,GOSR1,,SRA1,CHST10
PBRM1,USP19,,EIF4EBP3,PIK3R2
HIST1H2AM,UBN1,,APBB3,TMEM110-MUSTN1
CDH13,SREBF1,,SLC35A4,KALRN
MRM1,MIEF1,,CD14,SMIM4
CCDC14,IPO13,,NDUFA2,ZNF385D
NOVA1,GKAP1,,TMCO6,PHACTR3
SLC44A4,SPEG,,IK,EFNA5
SCG3,CKB,,WDR55,SFMBT1
ANAPC7,MRM1,,DND1,IGF2BP1
NEU1,KLHDC8B,,HARS,NFATC3
SKA2,NKAPL,,HARS2,MORC2
TRMT1,BRWD1,,ZMAT2,REEP3
PLEKHM1,SYT1,,PCDHA1,CWF19L1
ZNFX1,NOL12,,PCDHA2,MYBPC3
ZFHX3,HSPA9,,PCDHA3,DMXL2
CKB,NPM3,,PCDHA4,BTN2A1
DAB1,MYBPC3,,PCDHA5,ZGRF1
DALRD3,RFTN2,,PCDHA6,PCDHA1
FNIP2,ZFYVE9,,PCDHA7,Sep-03
TNIP2,LMF1,,PCDHA9,CDKAL1
FAM154B,HIST1H4C,,PCDHA10,KIF16B
IP6K2,NUDT12,,PCDHA11,NFS1
ZKSCAN4,ATP6V0B,,PCDHA13,MZF1
B4GALT2,CORO1C,,PCDHAC2,PLEKHG7
GPN3,SREBF2,,PCDHB5,MECR
RERG,POLR2H,,PCDHB16,RAI1
CKM,AP1G1,,PCDHGA5,COL7A1
NKAPL,AKAP6,,PCDHGA11,TNIP2
CCDC39,FAM76B,,PCDHGC4,TMEM110
CCDC36,CPD,,DOCK2,LARP7
ARPC3,SHANK3,,MXD3,WDR46
NSF,SAPCD1,,PRELID1,MARVELD3
PDE1C,HIST1H3B,,GRK6,DENND4A
CDK2,NR1D2,,PRR7,FBXO31
SUPT4H1,MYO15A,,DBN1,CCDC134
KLF9,CACNA1E,,PDLIM7,ERBB3
LDOC1L,PHF20,,FAM193B,SERPING1
FANK1,ANKS1B,,FAM153A,PHF2
SND1,IGF2BP1,,PSMG4,PLCB1
PPP1CC,MTMR2,,SLC22A23,TTC29
IST1,CHUK,,TMEM170B,MAST4
IMPDH2,PGBD1,,ADTRP,IER5L
PHIP,ZNFX1,,MCUR1,XRCC3
DCAF5,CNOT4,,CDKAL1,CREB3L4
HIST1H2BO,TESK2,,TRIM38,ANAPC4
CCT7,BCL11A,,HIST1H2BD,DUS2
DDX27,SRF,,HIST1H4H,SPPL2A
NCOA2,TOE1,,BTN3A2,WDR6
RD3,TRIOBP,,BTN2A2,CGREF1
PGPEP1,ARIH2,,BTN3A1,PTGER3
IRAK1BP1,GNAT1,,BTN3A3,MTMR4
RAD51C,ETF1,,BTN2A1,NFIX
HIST1H3J,MARK3,,BTN1A1,BLOC1S2
GNL3,NRBF2,,HMGN4,CTNNA2
SLC17A3,EP300,,ABT1,SPI1
ZSCAN31,PLCB1,,ZNF322,NLRC4
PHGR1,ARIH2OS,,HIST1H2BJ,PLEKHM1
OLFM4,MUTYH,,HIST1H2AG,CCDC39
AVL9,TMIGD1,,HIST1H2BK,CNBD2
QRICH1,CENPW,,HIST1H4I,PCDHA2
MSL2,NEU1,,HIST1H2AH,OAZ2
GRM3,STRC,,PRSS16,KDM4C
MIEF1,SLC39A8,,POM121L2,VPS41
SFMBT1,NET1,,ZNF391,CALU
RPS26,DUSP11,,ZNF184,CRHR1
BAI1,PPA2,,HIST1H4J,CNOT4
SYNGR1,NUP160,,HIST1H4K,UGP2
