genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000157778,PSMG3,5.92E-03,-2.68E-02,3.86E-02,4.121,3.56E-01,7.22E-01,9.12E-01,-6.3975
ENSG00000174903,RAB1B,-5.09E-03,-3.32E-02,2.30E-02,4.814,-3.56E-01,7.22E-01,9.12E-01,-6.51139
ENSG00000100321,SYNGR1,-5.64E-03,-3.68E-02,2.55E-02,8.247,-3.56E-01,7.22E-01,9.12E-01,-6.77926
ENSG00000179241,LDLRAD3,-9.18E-03,-5.99E-02,4.15E-02,2.486,-3.55E-01,7.22E-01,9.12E-01,-6.03843
ENSG00000185262,FAM100B,1.07E-02,-4.85E-02,7.00E-02,2.259,3.55E-01,7.22E-01,9.12E-01,-5.9852
ENSG00000198270,TMEM116,-5.92E-03,-3.87E-02,2.68E-02,4.15,-3.55E-01,7.22E-01,9.12E-01,-6.40271
ENSG00000126821,SGPP1,5.12E-03,-2.32E-02,3.34E-02,5.886,3.55E-01,7.23E-01,9.12E-01,-6.64951
ENSG00000143443,C1orf56,1.07E-02,-4.87E-02,7.01E-02,9.76E-01,3.55E-01,7.23E-01,9.12E-01,-5.68395
ENSG00000157219,HTR5A,6.58E-03,-2.99E-02,4.31E-02,3.97,3.55E-01,7.23E-01,9.12E-01,-6.37116
ENSG00000184206,.,1.52E-02,-6.92E-02,9.97E-02,3.34E-01,3.54E-01,7.23E-01,9.12E-01,-5.56864
ENSG00000170558,CDH2,-3.88E-03,-2.54E-02,1.76E-02,6.673,-3.54E-01,7.23E-01,9.13E-01,-6.71136
ENSG00000160211,G6PD,-6.15E-03,-4.02E-02,2.80E-02,3.709,-3.54E-01,7.23E-01,9.13E-01,-6.3103
ENSG00000168159,RNF187,-5.20E-03,-3.40E-02,2.36E-02,7.038,-3.54E-01,7.23E-01,9.13E-01,-6.72597
ENSG00000135362,PRR5L,-7.74E-03,-5.07E-02,3.52E-02,3.002,-3.54E-01,7.24E-01,9.13E-01,-6.16615
ENSG00000080854,IGSF9B,-8.80E-03,-5.76E-02,4.00E-02,3.643,-3.54E-01,7.24E-01,9.13E-01,-6.29565
ENSG00000103148,NPRL3,7.48E-03,-3.40E-02,4.90E-02,3.207,3.54E-01,7.24E-01,9.13E-01,-6.19655
ENSG00000267680,ZNF224,-7.21E-03,-4.72E-02,3.28E-02,2.497,-3.54E-01,7.24E-01,9.13E-01,-6.03379
ENSG00000119661,DNAL1,-3.68E-03,-2.41E-02,1.68E-02,5.595,-3.54E-01,7.24E-01,9.13E-01,-6.61883
ENSG00000119414,PPP6C,-4.53E-03,-2.97E-02,2.06E-02,5.841,-3.54E-01,7.24E-01,9.13E-01,-6.64603
ENSG00000182087,C19orf6,4.52E-03,-2.06E-02,2.96E-02,5.414,3.54E-01,7.24E-01,9.13E-01,-6.59203
ENSG00000214719,.,5.36E-03,-2.44E-02,3.51E-02,4.124,3.53E-01,7.24E-01,9.13E-01,-6.39639
ENSG00000007255,TRAPPC6A,-7.82E-03,-5.13E-02,3.56E-02,2.121,-3.53E-01,7.24E-01,9.13E-01,-5.97559
ENSG00000186231,KLHL32,-5.93E-03,-3.89E-02,2.71E-02,5.634,-3.53E-01,7.24E-01,9.13E-01,-6.62424
ENSG00000249306,.,-2.16E-02,-1.42E-01,9.84E-02,1.256,-3.53E-01,7.24E-01,9.13E-01,-5.75716
ENSG00000063046,EIF4B,4.99E-03,-2.28E-02,3.27E-02,8.83,3.53E-01,7.24E-01,9.13E-01,-6.79914
ENSG00000126878,AIF1L,-1.01E-02,-6.63E-02,4.61E-02,6.256,-3.53E-01,7.24E-01,9.13E-01,-6.68237
ENSG00000133134,BEX2,-6.16E-03,-4.05E-02,2.81E-02,6.694,-3.53E-01,7.24E-01,9.13E-01,-6.6993
