genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000112078,KCTD20,-2.13E-02,-4.12E-02,-1.32E-03,6.608,-2.095,3.66E-02,2.71E-01,-4.60789
ENSG00000144229,THSD7B,6.17E-02,3.83E-03,1.20E-01,1.757,2.094,3.67E-02,2.71E-01,-3.8895
ENSG00000124523,SIRT5,-2.77E-02,-5.37E-02,-1.72E-03,5.031,-2.094,3.67E-02,2.71E-01,-4.46006
ENSG00000263878,DLGAP1-AS4,-6.26E-02,-1.21E-01,-3.87E-03,2.116,-2.094,3.67E-02,2.71E-01,-3.9701
ENSG00000250017,.,6.13E-02,3.78E-03,1.19E-01,1.826,2.093,3.68E-02,2.71E-01,-3.90428
ENSG00000175575,PAAF1,3.88E-02,2.39E-03,7.53E-02,4.92,2.093,3.68E-02,2.71E-01,-4.44889
ENSG00000164161,HHIP,-5.81E-02,-1.13E-01,-3.57E-03,6.023,-2.093,3.68E-02,2.71E-01,-4.56784
ENSG00000006125,AP2B1,-2.38E-02,-4.61E-02,-1.46E-03,7.913,-2.093,3.68E-02,2.71E-01,-4.67154
ENSG00000125834,STK35,-3.04E-02,-5.89E-02,-1.86E-03,5.135,-2.092,3.69E-02,2.71E-01,-4.47397
ENSG00000120645,IQSEC3,-3.82E-02,-7.41E-02,-2.34E-03,5.608,-2.092,3.69E-02,2.71E-01,-4.52408
ENSG00000129680,MAP7D3,5.67E-02,3.46E-03,1.10E-01,1.825,2.092,3.69E-02,2.71E-01,-3.90833
ENSG00000144406,UNC80,-2.47E-02,-4.78E-02,-1.50E-03,8.337,-2.091,3.70E-02,2.72E-01,-4.68876
ENSG00000177728,KIAA0195,-3.27E-02,-6.34E-02,-1.98E-03,5.308,-2.091,3.70E-02,2.72E-01,-4.49294
ENSG00000136143,SUCLA2,-2.62E-02,-5.07E-02,-1.58E-03,7.059,-2.091,3.70E-02,2.72E-01,-4.63527
ENSG00000114446,IFT57,-3.12E-02,-6.06E-02,-1.88E-03,5.649,-2.09,3.71E-02,2.72E-01,-4.53582
ENSG00000118197,DDX59,-3.77E-02,-7.31E-02,-2.26E-03,3.968,-2.09,3.71E-02,2.72E-01,-4.30632
ENSG00000136986,DERL1,2.33E-02,1.40E-03,4.52E-02,5.202,2.09,3.71E-02,2.72E-01,-4.49199
ENSG00000147642,SYBU,-2.23E-02,-4.33E-02,-1.33E-03,6.941,-2.088,3.72E-02,2.73E-01,-4.63754
ENSG00000134815,DHX34,3.35E-02,1.97E-03,6.51E-02,3.398,2.087,3.74E-02,2.74E-01,-4.19822
ENSG00000204963,PCDHA7,8.28E-02,4.84E-03,1.61E-01,1.055,2.086,3.74E-02,2.74E-01,-3.80163
ENSG00000134243,SORT1,-2.68E-02,-5.21E-02,-1.57E-03,9.033,-2.086,3.74E-02,2.74E-01,-4.71885
ENSG00000174473,GALNTL6,4.26E-02,2.49E-03,8.28E-02,3.765,2.086,3.74E-02,2.74E-01,-4.27817
ENSG00000002746,HECW1,-2.43E-02,-4.73E-02,-1.42E-03,6.595,-2.085,3.75E-02,2.74E-01,-4.62433
ENSG00000117592,PRDX6,-3.98E-02,-7.73E-02,-2.31E-03,6.725,-2.085,3.75E-02,2.74E-01,-4.63409
ENSG00000136490,LIMD2,4.15E-02,2.40E-03,8.07E-02,3.04,2.085,3.75E-02,2.74E-01,-4.14571
ENSG00000182180,MRPS16,-2.30E-02,-4.47E-02,-1.33E-03,5.806,-2.084,3.76E-02,2.74E-01,-4.56508
ENSG00000147854,UHRF2,-2.44E-02,-4.73E-02,-1.40E-03,5.84,-2.084,3.76E-02,2.74E-01,-4.57214
ENSG00000215251,FASTKD5,-3.30E-02,-6.40E-02,-1.89E-03,4.437,-2.084,3.76E-02,2.74E-01,-4.39369
ENSG00000096070,BRPF3,-2.87E-02,-5.58E-02,-1.65E-03,5.105,-2.084,3.76E-02,2.74E-01,-4.48582
ENSG00000173706,HEG1,4.84E-02,2.76E-03,9.41E-02,4.822,2.083,3.77E-02,2.75E-01,-4.45396
ENSG00000155465,SLC7A7,-7.90E-02,-1.54E-01,-4.50E-03,7.73E-01,-2.083,3.77E-02,2.75E-01,-3.78647
ENSG00000130311,DDA1,3.26E-02,1.85E-03,6.34E-02,4.065,2.082,3.78E-02,2.75E-01,-4.33521
ENSG00000114388,NPRL2,2.57E-02,1.45E-03,4.99E-02,4.186,2.081,3.79E-02,2.75E-01,-4.35594
ENSG00000157014,TATDN2,-2.64E-02,-5.13E-02,-1.48E-03,5.639,-2.081,3.79E-02,2.75E-01,-4.55502
ENSG00000161243,FBXO27,-3.84E-02,-7.46E-02,-2.15E-03,3.356,-2.081,3.79E-02,2.75E-01,-4.20936
ENSG00000146842,TMEM209,3.47E-02,1.95E-03,6.75E-02,3.951,2.081,3.79E-02,2.76E-01,-4.32396
ENSG00000197779,ZNF81,-2.51E-02,-4.88E-02,-1.40E-03,5.244,-2.08,3.80E-02,2.76E-01,-4.51376
ENSG00000155849,ELMO1,-3.12E-02,-6.07E-02,-1.74E-03,5.876,-2.08,3.80E-02,2.76E-01,-4.58013
ENSG00000105676,ARMC6,3.04E-02,1.68E-03,5.91E-02,4.338,2.08,3.80E-02,2.76E-01,-4.38402
ENSG00000138792,ENPEP,9.67E-02,5.35E-03,1.88E-01,1.427,2.079,3.81E-02,2.76E-01,-3.86904
ENSG00000168056,LTBP3,-3.51E-02,-6.83E-02,-1.94E-03,4.679,-2.079,3.81E-02,2.76E-01,-4.43651
ENSG00000171840,NINJ2,-7.31E-02,-1.42E-01,-4.01E-03,2.13,-2.078,3.81E-02,2.76E-01,-4.00581
ENSG00000115073,ACTR1B,-2.80E-02,-5.45E-02,-1.53E-03,6.719,-2.078,3.82E-02,2.77E-01,-4.64245
ENSG00000253738,.,-3.00E-02,-5.84E-02,-1.64E-03,6.566,-2.077,3.82E-02,2.77E-01,-4.63955
ENSG00000249614,.,-5.77E-02,-1.12E-01,-3.14E-03,4.769,-2.077,3.83E-02,2.77E-01,-4.45276
ENSG00000118096,IFT46,-3.28E-02,-6.39E-02,-1.78E-03,4.742,-2.077,3.83E-02,2.77E-01,-4.45437
ENSG00000134376,CRB1,4.30E-02,2.33E-03,8.36E-02,5.582,2.077,3.83E-02,2.77E-01,-4.56028
ENSG00000196090,PTPRT,-3.01E-02,-5.86E-02,-1.61E-03,8.097,-2.075,3.84E-02,2.78E-01,-4.71321
ENSG00000184708,EIF4ENIF1,2.36E-02,1.26E-03,4.60E-02,4.705,2.075,3.84E-02,2.78E-01,-4.45367
ENSG00000181215,C4orf50,-3.88E-02,-7.55E-02,-2.06E-03,4.296,-2.075,3.85E-02,2.78E-01,-4.38439
ENSG00000085788,DDHD2,-2.11E-02,-4.11E-02,-1.12E-03,7.46,-2.074,3.85E-02,2.78E-01,-4.69203
ENSG00000239857,GET4,4.96E-02,2.62E-03,9.66E-02,2.224,2.074,3.86E-02,2.78E-01,-4.01247
ENSG00000180979,LRRC57,-3.04E-02,-5.92E-02,-1.59E-03,4.432,-2.072,3.87E-02,2.79E-01,-4.41739
ENSG00000250251,PKD1P6,5.08E-02,2.65E-03,9.89E-02,3.437,2.072,3.87E-02,2.79E-01,-4.23471
ENSG00000197704,FRMPD2P1,1.39E-01,7.23E-03,2.71E-01,2.06E-01,2.072,3.87E-02,2.79E-01,-3.77803
ENSG00000135919,SERPINE2,4.11E-02,2.14E-03,8.01E-02,6.955,2.072,3.87E-02,2.79E-01,-4.67463
ENSG00000204947,ZNF425,-4.47E-02,-8.70E-02,-2.32E-03,2.997,-2.072,3.87E-02,2.79E-01,-4.15605
ENSG00000260081,.,-8.88E-02,-1.73E-01,-4.59E-03,2.29E-01,-2.071,3.88E-02,2.79E-01,-3.75437
ENSG00000100796,SMEK1,-1.80E-02,-3.51E-02,-9.31E-04,6.494,-2.071,3.88E-02,2.79E-01,-4.65013
ENSG00000164053,ATRIP,4.39E-02,2.25E-03,8.55E-02,2.025,2.071,3.89E-02,2.79E-01,-3.97642
ENSG00000196455,PIK3R4,-2.23E-02,-4.35E-02,-1.15E-03,5.974,-2.07,3.89E-02,2.79E-01,-4.61088
ENSG00000262943,ALOX12P2,4.92E-02,2.52E-03,9.58E-02,2.28,2.07,3.89E-02,2.79E-01,-4.01686
ENSG00000106399,RPA3,-3.65E-02,-7.11E-02,-1.86E-03,3.762,-2.07,3.89E-02,2.79E-01,-4.31712
ENSG00000188452,CERKL,6.62E-02,3.38E-03,1.29E-01,1.933,2.07,3.89E-02,2.79E-01,-3.97267
ENSG00000104522,TSTA3,-3.58E-02,-6.98E-02,-1.83E-03,3.452,-2.07,3.89E-02,2.79E-01,-4.25616
ENSG00000138375,SMARCAL1,-3.31E-02,-6.45E-02,-1.69E-03,3.369,-2.07,3.89E-02,2.79E-01,-4.22767
ENSG00000102738,MRPS31,-2.56E-02,-5.00E-02,-1.31E-03,4.365,-2.07,3.89E-02,2.79E-01,-4.41209
ENSG00000131791,PRKAB2,-4.47E-02,-8.71E-02,-2.25E-03,5.75,-2.069,3.91E-02,2.80E-01,-4.59571
ENSG00000254088,.,-8.08E-02,-1.58E-01,-4.06E-03,2.56E-01,-2.068,3.91E-02,2.80E-01,-3.75125
ENSG00000070423,RNF126,3.80E-02,1.91E-03,7.41E-02,3.427,2.068,3.91E-02,2.80E-01,-4.25429
ENSG00000111412,C12orf49,-3.10E-02,-6.04E-02,-1.55E-03,5.464,-2.067,3.92E-02,2.80E-01,-4.56607
ENSG00000072071,LPHN1,-2.78E-02,-5.42E-02,-1.39E-03,6.593,-2.067,3.92E-02,2.80E-01,-4.65737
ENSG00000139842,CUL4A,-2.15E-02,-4.20E-02,-1.07E-03,6.05,-2.066,3.93E-02,2.81E-01,-4.62592
ENSG00000189171,S100A13,6.46E-02,3.19E-03,1.26E-01,5.596,2.066,3.93E-02,2.81E-01,-4.58287
ENSG00000104129,DNAJC17,3.34E-02,1.64E-03,6.52E-02,3.133,2.065,3.93E-02,2.81E-01,-4.20056
ENSG00000165521,EML5,-1.89E-02,-3.68E-02,-9.24E-04,6.445,-2.065,3.94E-02,2.81E-01,-4.65891
ENSG00000231365,.,6.18E-02,2.99E-03,1.21E-01,2.079,2.064,3.95E-02,2.82E-01,-3.99535
ENSG00000165678,GHITM,-2.28E-02,-4.44E-02,-1.10E-03,8.671,-2.064,3.95E-02,2.82E-01,-4.75317
ENSG00000025156,HSF2,2.92E-02,1.40E-03,5.70E-02,4.954,2.063,3.96E-02,2.82E-01,-4.51485
ENSG00000223642,.,8.76E-02,4.19E-03,1.71E-01,2.76E-01,2.063,3.96E-02,2.82E-01,-3.76577
ENSG00000137478,FCHSD2,2.91E-02,1.39E-03,5.67E-02,5.703,2.063,3.96E-02,2.82E-01,-4.60232
ENSG00000112782,CLIC5,7.78E-02,3.71E-03,1.52E-01,1.297,2.063,3.96E-02,2.82E-01,-3.88121
ENSG00000257698,.,-3.42E-02,-6.68E-02,-1.63E-03,3.855,-2.062,3.96E-02,2.82E-01,-4.34331
ENSG00000091986,CCDC80,-8.60E-02,-1.68E-01,-4.08E-03,2.652,-2.062,3.97E-02,2.82E-01,-4.12219
ENSG00000075618,FSCN1,-2.98E-02,-5.81E-02,-1.41E-03,6.249,-2.062,3.97E-02,2.82E-01,-4.64565
ENSG00000040608,RTN4R,-4.49E-02,-8.77E-02,-2.12E-03,3.883,-2.062,3.97E-02,2.82E-01,-4.34088
ENSG00000172201,ID4,5.79E-02,2.74E-03,1.13E-01,6.128,2.062,3.97E-02,2.82E-01,-4.6442
ENSG00000121413,ZSCAN18,2.82E-02,1.32E-03,5.50E-02,5.871,2.06,3.98E-02,2.83E-01,-4.61889
ENSG00000256625,.,-8.01E-02,-1.56E-01,-3.74E-03,1.239,-2.06,3.98E-02,2.83E-01,-3.89162
ENSG00000268182,.,5.39E-02,2.51E-03,1.05E-01,3.304,2.06,3.99E-02,2.83E-01,-4.25435
ENSG00000049323,LTBP1,4.39E-02,2.04E-03,8.58E-02,4.437,2.06,3.99E-02,2.83E-01,-4.44791
ENSG00000136710,CCDC115,2.59E-02,1.20E-03,5.06E-02,4.895,2.06,3.99E-02,2.83E-01,-4.51229
ENSG00000126749,EMG1,-4.03E-02,-7.87E-02,-1.86E-03,2.75,-2.059,3.99E-02,2.83E-01,-4.14187
ENSG00000151025,GPR158,-2.64E-02,-5.16E-02,-1.20E-03,7.263,-2.058,4.01E-02,2.84E-01,-4.71454
ENSG00000172661,FAM21C,-4.50E-02,-8.80E-02,-2.05E-03,4.349,-2.058,4.01E-02,2.84E-01,-4.43114
ENSG00000173852,DPY19L1,-3.25E-02,-6.36E-02,-1.48E-03,7.038,-2.058,4.01E-02,2.84E-01,-4.70759
ENSG00000204128,C2orf72,3.31E-02,1.50E-03,6.46E-02,6.079,2.057,4.01E-02,2.84E-01,-4.645
ENSG00000170075,GPR37L1,-5.39E-02,-1.05E-01,-2.44E-03,5.51,-2.057,4.01E-02,2.84E-01,-4.58122
ENSG00000196290,NIF3L1,-2.89E-02,-5.65E-02,-1.30E-03,4.674,-2.057,4.02E-02,2.84E-01,-4.48386
ENSG00000104660,LEPROTL1,-2.34E-02,-4.58E-02,-1.06E-03,5.859,-2.057,4.02E-02,2.84E-01,-4.62682
ENSG00000019991,HGF,1.02E-01,4.57E-03,2.00E-01,4.423,2.056,4.03E-02,2.84E-01,-4.45358
ENSG00000162909,CAPN2,3.24E-02,1.44E-03,6.34E-02,6.428,2.056,4.03E-02,2.84E-01,-4.67576
ENSG00000099904,ZDHHC8,-3.56E-02,-6.97E-02,-1.57E-03,3.536,-2.055,4.04E-02,2.85E-01,-4.29307
ENSG00000131242,RAB11FIP4,-2.79E-02,-5.45E-02,-1.23E-03,7.789,-2.055,4.04E-02,2.85E-01,-4.74422
ENSG00000149582,TMEM25,-2.40E-02,-4.69E-02,-1.06E-03,5.27,-2.055,4.04E-02,2.85E-01,-4.56377
ENSG00000119013,NDUFB3,-3.99E-02,-7.80E-02,-1.76E-03,5.425,-2.055,4.04E-02,2.85E-01,-4.58098
ENSG00000128928,IVD,-3.41E-02,-6.68E-02,-1.50E-03,5.518,-2.055,4.04E-02,2.85E-01,-4.59681
ENSG00000123131,PRDX4,4.04E-02,1.78E-03,7.90E-02,3.623,2.055,4.04E-02,2.85E-01,-4.32131
ENSG00000181588,MEX3D,4.73E-02,2.07E-03,9.25E-02,3.277,2.054,4.04E-02,2.85E-01,-4.25916
ENSG00000177105,RHOG,5.35E-02,2.29E-03,1.05E-01,1.594,2.052,4.06E-02,2.86E-01,-3.95999
ENSG00000139645,ANKRD52,-2.84E-02,-5.55E-02,-1.21E-03,5.418,-2.052,4.07E-02,2.86E-01,-4.58634
ENSG00000100938,GMPR2,-2.30E-02,-4.51E-02,-9.78E-04,5.575,-2.051,4.07E-02,2.86E-01,-4.6057
ENSG00000101292,PROKR2,1.04E-01,4.38E-03,2.03E-01,5.03E-01,2.051,4.07E-02,2.86E-01,-3.80611
ENSG00000151465,CDC123,-2.36E-02,-4.61E-02,-9.95E-04,5.652,-2.051,4.08E-02,2.86E-01,-4.61506
ENSG00000101654,RNMT,1.90E-02,8.04E-04,3.73E-02,6.974,2.051,4.08E-02,2.86E-01,-4.71756
ENSG00000090263,MRPS33,-3.36E-02,-6.59E-02,-1.40E-03,4.254,-2.05,4.09E-02,2.87E-01,-4.43625
ENSG00000131495,NDUFA2,-3.59E-02,-7.03E-02,-1.50E-03,4.837,-2.05,4.09E-02,2.87E-01,-4.52071
ENSG00000145375,SPATA5,-2.88E-02,-5.64E-02,-1.20E-03,4.606,-2.05,4.09E-02,2.87E-01,-4.49254
ENSG00000134014,ELP3,-2.24E-02,-4.38E-02,-9.18E-04,5.862,-2.048,4.10E-02,2.87E-01,-4.6418
ENSG00000130939,UBE4B,-1.94E-02,-3.79E-02,-7.84E-04,5.962,-2.047,4.11E-02,2.88E-01,-4.6563
ENSG00000128285,MCHR1,-5.44E-02,-1.07E-01,-2.20E-03,2.913,-2.047,4.11E-02,2.88E-01,-4.21495
ENSG00000013016,EHD3,-2.40E-02,-4.71E-02,-9.72E-04,6.889,-2.047,4.11E-02,2.88E-01,-4.71885
ENSG00000050426,LETMD1,2.49E-02,9.93E-04,4.87E-02,5.463,2.046,4.12E-02,2.88E-01,-4.60849
ENSG00000164675,IQUB,-3.79E-02,-7.43E-02,-1.51E-03,3.391,-2.046,4.13E-02,2.88E-01,-4.28545
ENSG00000176907,C8orf4,8.13E-02,3.23E-03,1.59E-01,3.104,2.045,4.13E-02,2.88E-01,-4.2401
ENSG00000107937,GTPBP4,-2.23E-02,-4.37E-02,-8.84E-04,5.274,-2.045,4.13E-02,2.88E-01,-4.58874
ENSG00000183495,EP400,-2.23E-02,-4.36E-02,-8.83E-04,5.726,-2.045,4.13E-02,2.88E-01,-4.6331
ENSG00000117461,PIK3R3,-3.92E-02,-7.69E-02,-1.52E-03,5.608,-2.043,4.15E-02,2.90E-01,-4.63083
ENSG00000180776,ZDHHC20,-3.62E-02,-7.10E-02,-1.40E-03,5.558,-2.043,4.15E-02,2.90E-01,-4.62615
ENSG00000189056,RELN,8.39E-02,3.22E-03,1.65E-01,6.535,2.043,4.16E-02,2.90E-01,-4.70065
ENSG00000179604,CDC42EP4,-4.25E-02,-8.34E-02,-1.62E-03,5.632,-2.042,4.16E-02,2.90E-01,-4.63077
ENSG00000152689,RASGRP3,-5.36E-02,-1.05E-01,-2.02E-03,4.811,-2.041,4.17E-02,2.91E-01,-4.53755
ENSG00000006016,CRLF1,-8.16E-02,-1.60E-01,-3.07E-03,3.736,-2.041,4.17E-02,2.91E-01,-4.35881
ENSG00000139832,RAB20,8.64E-02,3.25E-03,1.70E-01,8.26E-01,2.041,4.17E-02,2.91E-01,-3.87566
ENSG00000132780,NASP,2.95E-02,1.11E-03,5.79E-02,5.541,2.041,4.17E-02,2.91E-01,-4.62834
ENSG00000235286,.,9.21E-02,3.44E-03,1.81E-01,4.71E-02,2.04,4.18E-02,2.91E-01,-3.78807
ENSG00000176248,ANAPC2,-3.00E-02,-5.88E-02,-1.11E-03,4.04,-2.04,4.18E-02,2.91E-01,-4.41225
ENSG00000043143,PHF15,2.56E-02,9.43E-04,5.02E-02,6.062,2.039,4.19E-02,2.91E-01,-4.67807
ENSG00000215067,.,4.74E-02,1.73E-03,9.30E-02,2.043,2.039,4.19E-02,2.91E-01,-4.04049
ENSG00000188153,COL4A5,-4.11E-02,-8.07E-02,-1.50E-03,5.88,-2.039,4.19E-02,2.91E-01,-4.66149
ENSG00000138463,DIRC2,-2.90E-02,-5.69E-02,-1.06E-03,4.435,-2.039,4.20E-02,2.91E-01,-4.48748
ENSG00000109680,TBC1D19,-2.50E-02,-4.90E-02,-9.11E-04,5.017,-2.039,4.20E-02,2.91E-01,-4.57072
ENSG00000141569,TRIM65,-4.13E-02,-8.11E-02,-1.49E-03,3.822,-2.038,4.21E-02,2.92E-01,-4.3859
ENSG00000159593,NAE1,-2.35E-02,-4.61E-02,-8.42E-04,5.969,-2.037,4.21E-02,2.92E-01,-4.6758
ENSG00000182674,KCNB2,3.68E-02,1.32E-03,7.22E-02,4.11,2.037,4.21E-02,2.92E-01,-4.43243
ENSG00000234284,ZNF879,-3.09E-02,-6.07E-02,-1.10E-03,3.435,-2.037,4.22E-02,2.92E-01,-4.31184
ENSG00000196233,LCOR,2.20E-02,7.77E-04,4.33E-02,6.579,2.036,4.22E-02,2.92E-01,-4.72705
ENSG00000114541,FRMD4B,3.29E-02,1.16E-03,6.45E-02,4.562,2.036,4.22E-02,2.92E-01,-4.51317
ENSG00000198216,CACNA1E,-2.68E-02,-5.26E-02,-9.45E-04,7.978,-2.036,4.22E-02,2.92E-01,-4.78847
ENSG00000119318,RAD23B,-2.13E-02,-4.18E-02,-7.47E-04,7.454,-2.036,4.23E-02,2.92E-01,-4.76912
ENSG00000135828,RNASEL,5.15E-02,1.80E-03,1.01E-01,4.198,2.035,4.23E-02,2.93E-01,-4.45241
ENSG00000198597,ZNF536,3.70E-02,1.28E-03,7.27E-02,5.403,2.034,4.24E-02,2.93E-01,-4.62694
ENSG00000269473,.,7.28E-02,2.50E-03,1.43E-01,5.16E-01,2.034,4.24E-02,2.93E-01,-3.83493
ENSG00000236114,.,-6.56E-02,-1.29E-01,-2.25E-03,1.357,-2.034,4.24E-02,2.93E-01,-3.94757
ENSG00000185842,DNAH14,4.74E-02,1.62E-03,9.33E-02,4.679,2.034,4.25E-02,2.93E-01,-4.53581
ENSG00000110881,ASIC1,-3.73E-02,-7.34E-02,-1.27E-03,3.45,-2.034,4.25E-02,2.93E-01,-4.31578
ENSG00000188785,ZNF548,3.08E-02,1.05E-03,6.06E-02,4.236,2.033,4.25E-02,2.93E-01,-4.46419
ENSG00000148688,RPP30,2.18E-02,7.37E-04,4.29E-02,5.154,2.033,4.25E-02,2.93E-01,-4.59898
ENSG00000086717,PPEF1,6.03E-02,2.03E-03,1.19E-01,3.472,2.033,4.26E-02,2.93E-01,-4.34938
ENSG00000147526,TACC1,-2.37E-02,-4.66E-02,-7.95E-04,8.85,-2.032,4.26E-02,2.93E-01,-4.82304
ENSG00000228315,GUSBP11,3.17E-02,1.06E-03,6.24E-02,4.502,2.032,4.26E-02,2.93E-01,-4.50147
ENSG00000139329,LUM,-1.13E-01,-2.22E-01,-3.78E-03,6.92E-01,-2.032,4.26E-02,2.93E-01,-3.8811
ENSG00000187134,AKR1C1,7.14E-02,2.38E-03,1.41E-01,3.558,2.032,4.26E-02,2.93E-01,-4.34513
ENSG00000064989,CALCRL,-4.18E-02,-8.23E-02,-1.38E-03,5.231,-2.031,4.27E-02,2.94E-01,-4.61405
ENSG00000172915,NBEA,-1.99E-02,-3.92E-02,-6.54E-04,9.067,-2.031,4.27E-02,2.94E-01,-4.83123
ENSG00000257479,.,3.99E-02,1.30E-03,7.85E-02,2.86,2.031,4.28E-02,2.94E-01,-4.20399
ENSG00000157368,IL34,5.56E-02,1.80E-03,1.09E-01,3.382,2.03,4.28E-02,2.94E-01,-4.3219
ENSG00000115183,TANC1,-3.15E-02,-6.19E-02,-1.02E-03,4.916,-2.03,4.28E-02,2.94E-01,-4.5738
ENSG00000101363,MANBAL,-3.16E-02,-6.22E-02,-1.02E-03,4.499,-2.03,4.28E-02,2.94E-01,-4.51084
ENSG00000139719,VPS33A,-2.49E-02,-4.91E-02,-8.04E-04,4.396,-2.03,4.29E-02,2.94E-01,-4.49794
ENSG00000164985,PSIP1,-2.24E-02,-4.41E-02,-7.18E-04,7.525,-2.029,4.29E-02,2.94E-01,-4.78652
ENSG00000148737,TCF7L2,-4.79E-02,-9.42E-02,-1.52E-03,2.981,-2.029,4.30E-02,2.95E-01,-4.23778
ENSG00000187601,MAGEH1,3.90E-02,1.23E-03,7.67E-02,6.255,2.028,4.30E-02,2.95E-01,-4.70977
ENSG00000133985,TTC9,2.87E-02,9.04E-04,5.64E-02,4.797,2.028,4.30E-02,2.95E-01,-4.55955
ENSG00000231533,.,-8.14E-02,-1.60E-01,-2.56E-03,5.58E-01,-2.028,4.30E-02,2.95E-01,-3.87331
ENSG00000110048,OSBP,-2.05E-02,-4.03E-02,-6.43E-04,6.179,-2.028,4.30E-02,2.95E-01,-4.71317
ENSG00000251226,.,-2.45E-01,-4.83E-01,-7.68E-03,1.022,-2.028,4.31E-02,2.95E-01,-3.91901
ENSG00000036257,CUL3,-2.00E-02,-3.94E-02,-6.24E-04,7.144,-2.027,4.31E-02,2.95E-01,-4.7736
ENSG00000164118,CEP44,2.75E-02,8.57E-04,5.41E-02,5.211,2.027,4.31E-02,2.95E-01,-4.61983
ENSG00000212673,.,7.12E-02,2.19E-03,1.40E-01,4.59E-01,2.027,4.32E-02,2.95E-01,-3.84458
ENSG00000177885,GRB2,-2.20E-02,-4.34E-02,-6.73E-04,6.824,-2.026,4.32E-02,2.95E-01,-4.75714
ENSG00000198911,SREBF2,-2.77E-02,-5.45E-02,-8.38E-04,7.318,-2.026,4.33E-02,2.95E-01,-4.78304
ENSG00000088766,CRLS1,-2.59E-02,-5.11E-02,-7.85E-04,5.234,-2.026,4.33E-02,2.95E-01,-4.62671
ENSG00000233836,.,5.22E-02,1.57E-03,1.03E-01,3.15,2.025,4.33E-02,2.95E-01,-4.28823
ENSG00000135148,TRAFD1,2.65E-02,7.88E-04,5.22E-02,4.344,2.024,4.34E-02,2.96E-01,-4.50111
ENSG00000176956,LY6H,4.95E-02,1.45E-03,9.76E-02,5.725,2.024,4.35E-02,2.96E-01,-4.67427
ENSG00000162194,C11orf48,-3.91E-02,-7.70E-02,-1.13E-03,3.656,-2.023,4.36E-02,2.96E-01,-4.38423
ENSG00000163866,C1orf212,-2.58E-02,-5.08E-02,-7.48E-04,5.048,-2.023,4.36E-02,2.96E-01,-4.60218
ENSG00000268471,.,4.09E-02,1.19E-03,8.06E-02,2.554,2.023,4.36E-02,2.96E-01,-4.16369
ENSG00000242220,TCP10L,-8.96E-02,-1.77E-01,-2.59E-03,9.36E-02,-2.023,4.36E-02,2.96E-01,-3.81713
ENSG00000172586,CHCHD1,-3.33E-02,-6.55E-02,-9.60E-04,3.726,-2.023,4.36E-02,2.96E-01,-4.40381
ENSG00000165197,FIGF,-8.03E-02,-1.58E-01,-2.29E-03,3.51E-01,-2.022,4.37E-02,2.97E-01,-3.83919
ENSG00000130119,GNL3L,-3.70E-02,-7.29E-02,-1.06E-03,3.591,-2.022,4.37E-02,2.97E-01,-4.36455
ENSG00000143374,TARS2,3.05E-02,8.67E-04,6.00E-02,3.927,2.022,4.37E-02,2.97E-01,-4.43004
ENSG00000171016,PYGO1,3.53E-02,1.00E-03,6.96E-02,4.829,2.022,4.37E-02,2.97E-01,-4.58015
ENSG00000141441,FAM59A,3.42E-02,9.66E-04,6.75E-02,5.29,2.021,4.37E-02,2.97E-01,-4.64059
ENSG00000163285,GABRG1,-4.67E-02,-9.21E-02,-1.31E-03,7.097,-2.021,4.38E-02,2.97E-01,-4.78375
ENSG00000188906,LRRK2,-3.13E-02,-6.17E-02,-8.67E-04,7.132,-2.02,4.38E-02,2.97E-01,-4.78703
ENSG00000183530,PRR14L,-2.02E-02,-3.99E-02,-5.61E-04,6.494,-2.02,4.38E-02,2.97E-01,-4.75135
ENSG00000080031,PTPRH,-9.20E-02,-1.81E-01,-2.54E-03,1.564,-2.02,4.39E-02,2.97E-01,-4.00763
ENSG00000004534,RBM6,2.68E-02,7.34E-04,5.30E-02,6.166,2.019,4.39E-02,2.97E-01,-4.72807
ENSG00000123728,RAP2C,2.85E-02,7.75E-04,5.63E-02,5.116,2.019,4.40E-02,2.98E-01,-4.62597
ENSG00000165699,TSC1,-1.90E-02,-3.75E-02,-5.13E-04,6.844,-2.019,4.40E-02,2.98E-01,-4.77445
ENSG00000174442,ZWILCH,-3.57E-02,-7.05E-02,-9.64E-04,3.741,-2.019,4.40E-02,2.98E-01,-4.41473
ENSG00000171497,PPID,-3.06E-02,-6.04E-02,-8.23E-04,4.686,-2.019,4.40E-02,2.98E-01,-4.56121
ENSG00000260006,.,3.91E-02,1.04E-03,7.71E-02,3.597,2.018,4.41E-02,2.98E-01,-4.39134
ENSG00000197697,HIST1H2BE,7.11E-02,1.89E-03,1.40E-01,2.433,2.018,4.41E-02,2.98E-01,-4.17571
ENSG00000242193,.,4.68E-02,1.24E-03,9.24E-02,2.96,2.018,4.41E-02,2.98E-01,-4.25189
ENSG00000140367,UBE2Q2,-2.92E-02,-5.76E-02,-7.71E-04,6.238,-2.017,4.41E-02,2.98E-01,-4.73795
ENSG00000091157,WDR7,-1.64E-02,-3.23E-02,-4.28E-04,8.028,-2.017,4.42E-02,2.98E-01,-4.82859
