,G1,G2,G3
ADM5,-0.02068147017262893,-0.002960290031156337,-0.012582730300444581
ADO,0.02017757671684978,0.011018284669338024,-0.011369208641620186
ADPRHL1,0.013344648561855256,0.04126864620092113,0.0004983909326226762
ADRA1B,-0.02046989732311617,0.02059729988379964,0.006481584943556744
ADRA1D,0.01234138407601746,0.03536183538489736,-0.008279131884027286
ADRA2C,-0.018919173650576847,-0.0022416533112663306,0.00250253380667942
ADRB2,-0.018595240157561272,0.005330327579259962,0.01189698382753467
ADSSL1,0.01577904964154275,0.012095008440601756,0.022469760953936477
ADTRP,-0.017426317301581288,0.031040886119160824,-0.005678895969512369
AEBP1,-0.01237872735830466,0.008296636840543947,0.02486170435408964
AFAP1L1,0.013791306646877605,0.023500973761108494,0.0014894774078569992
AFAP1L2,0.0016569777627701457,0.01177262389488734,-0.00042404304957171504
AFTPH,0.016780273809805433,0.005722710963907198,-0.006029889888040185
AGMAT,-0.004340806812748322,0.04088001551167081,0.019770554901023675
AGO1,0.023673698021102155,-0.0052323938168927974,-0.008182864086494835
AGO4,0.010083545164560857,-0.03130899396648011,-0.02828402797281566
AGPAT3,0.017136129916384416,0.022299948630800075,0.0012209359148312364
AHI1,0.021844188655674442,-0.02035907478713348,-0.010169896002326867
AHNAK,-0.021531805302035568,-0.009236548854624167,0.007792540829125964
AHNAK2,-0.0029989497794210653,0.05281518211022324,0.010128727357541317
AHRR,-0.02213611938875389,-0.004319478940262456,-0.01589198828806523
AIF1,-0.018691212229209237,0.003865685138475649,0.0060525703680963
AIFM3,0.021245406513839746,0.004213771570129343,0.007243434478886489
AIRE,-0.0011960820116240197,0.029578854877732243,0.036979428457525006
AJAP1,-0.011957740728357862,-0.02209467786748287,-0.01445702759930785
AK2,0.018795515755776555,0.014199247344070897,0.02120954655658409
AK4,-0.021935756990511073,-0.00481197613719594,0.003376383342943035
AKAP12,0.00844317004762906,0.04224101227335603,0.010927947288963584
AKAP13,0.008714901376798532,-0.011632089223561029,-0.026917692234928275
AKAP14,-0.021148352675065245,-0.016236825650040927,0.0002441900569747415
AKAP5,-0.018013799860854957,-0.006752457168036863,-0.023942264417264537
AKAP8,-0.011803171556826956,0.041055234807387785,-0.0070425743969546204
AKIRIN2,-0.022951223070703786,0.006519344594391056,-0.013427894476678958
AKR1C1,-0.007443771790334761,0.031624348233756185,0.03143971885210666
AKR1C3,-0.009761326716069134,0.03404329625208426,0.01763453246888965
AKR1C4,-0.007097179220414891,0.0337749913042192,0.031966009762806065
AKR7A3,-0.017770831216743405,0.012818185238018618,0.013077599075913753
AKT3,0.014947255910691392,0.004786511946826124,-0.013487746451629175
ALDH1A3,0.024289922900633257,-0.0002776708993167179,-0.005282233541719505
ALKAL2,-0.023564485595940772,0.00021826917247602757,0.012296676966393522
ALOX5,-0.016896747340028537,0.0023375386196463448,0.005420452473581129
