,label,gene,study
3080,ASD,PPIA,3
3082,ASD,PPIL4,2
3084,ASD,PPIP5K2,3
3087,ASD,PPM1H,2
3089,ASD,PPME1,2
3094,ASD,PPP1R14B,3
3095,ASD,PPP1R14C,2
3100,ASD,PPP1R18,3
3103,ASD,PPP1R26-AS1,2
3104,ASD,PPP1R3B,3
3110,ASD,PPP2R1A,2
3115,ASD,PPP2R5A,2
3116,ASD,PPP2R5B,2
3119,ASD,PPP3CA,3
3120,ASD,PPP3CB,2
3127,ASD,PRDM2,2
3128,ASD,PRDX1,2
3134,ASD,PREP,3
3135,ASD,PREPL,2
3136,ASD,PRICKLE1,2
3139,ASD,PRKAB2,2
3140,ASD,PRKACB,2
3142,ASD,PRKAR1A,3
3143,ASD,PRKAR1B,2
3144,ASD,PRKAR2B,2
3145,ASD,PRKCB,2
3146,ASD,PRKCE,3
3161,ASD,PRPS1,2
3164,ASD,PRR4,2
3166,ASD,PRRT3,2
3169,ASD,PSD4,3
3170,ASD,PSMA4,2
3171,ASD,PSMA5,2
3172,ASD,PSMB2,2
3176,ASD,PSMB8,2
3178,ASD,PSMC2,2
3182,ASD,PSMD12,2
3186,ASD,PSMD7,3
3188,ASD,PSME2,2
3189,ASD,PSMG3,3
3191,ASD,PTAR1,2
3192,ASD,PTBP1,3
3193,ASD,PTBP3,3
3197,ASD,PTCHD4,2
3210,ASD,PTPN13,3
3215,ASD,PTPRD,3
3219,ASD,PTPRZ1,2
3222,ASD,PTTG1IP,3
3223,ASD,PVALB,3
3224,ASD,PVRL1,2
3225,ASD,PVRL2,3
3227,ASD,PXDC1,2
3228,ASD,PXN,3
3229,ASD,PYCR1,3
3230,ASD,PYGL,2
3232,ASD,QARS,2
3235,ASD,R3HDM2,2
3236,ASD,RAB11A,2
3241,ASD,RAB13,3
3244,ASD,RAB20,3
3248,ASD,RAB31,3
3249,ASD,RAB37,2
3251,ASD,RAB39A,2
3255,ASD,RAB3GAP2,3
3259,ASD,RAB4B,2
3262,ASD,RAB7L1,3
3264,ASD,RAB8B,3
3265,ASD,RABEPK,3
3283,ASD,RAMP1,3
3287,ASD,RAP1B,2
3293,ASD,RARRES3,2
3299,ASD,RASGRF1,3
3300,ASD,RASGRP1,2
3303,ASD,RASSF8,3
3304,ASD,RAVER2,3
3307,ASD,RBFOX1,2
3313,ASD,RBM12B,3
3320,ASD,RBM47,2
3322,ASD,RCAN2,3
3327,ASD,RCOR3,3
3328,ASD,RDH10,3
3333,ASD,RELA,3
3335,ASD,RELL2,2
3336,ASD,REPS2,2
3343,ASD,RFPL1S,3
3345,ASD,RFX2,2
3353,ASD,RGS4,3
3355,ASD,RGS7,2
3361,ASD,RHOBTB1,3
3362,ASD,RHOBTB2,2
3363,ASD,RHOBTB3,3
3364,ASD,RHOC,3
3365,ASD,RHOD,2
3368,ASD,RHPN2,3
3372,ASD,RIMKLA,3
3379,ASD,RIT1,3
3383,ASD,RMND5B,3
3386,ASD,RNASE1,2
3392,ASD,RNF114,2
3393,ASD,RNF122,2
3400,ASD,RNF157,3
3401,ASD,RNF165,2
3414,ASD,RNMT,3
3422,ASD,ROM1,2
3429,ASD,RP1-239B22.5,2
3438,ASD,RP11-123O22.1,2
3451,ASD,RP11-163N6.2,2
3452,ASD,RP11-166D19.1,2
3460,ASD,RP11-182I10.3,2
3499,ASD,RP11-314P15.2,2
3507,ASD,RP11-334C17.5,2
3525,ASD,RP11-404G16.2,2
3529,ASD,RP11-421P23.2,2
3533,ASD,RP11-434B12.1,2
3542,ASD,RP11-465B22.3,2
3550,ASD,RP11-517B11.7,2
3556,ASD,RP11-53O19.1,2
3580,ASD,RP11-638F5.1,2
3585,ASD,RP11-64B16.2,2
3601,ASD,RP11-766N7.3,2
3626,ASD,RP2,3
3637,ASD,RP4-753M9.1,2
3642,ASD,RP5-1119A7.17,2
3646,ASD,RP5-855F14.1,2
3651,ASD,RPGRIP1L,2
3652,ASD,RPH3A,2
3662,ASD,RPL18,2
3676,ASD,RPL28,3
3685,ASD,RPL36,2
3693,ASD,RPL6,2
3706,ASD,RPN2,3
3709,ASD,RPS10,2
3710,ASD,RPS11,2
3718,ASD,RPS19,3
3720,ASD,RPS20,2
3725,ASD,RPS27L,2
3729,ASD,RPS3,2
3744,ASD,RRAGA,3
3746,ASD,RREB1,3
3747,ASD,RRN3,2
3749,ASD,RSBN1L-AS1,2
3753,ASD,RTKN2,3
3757,ASD,RTN4,2
3760,ASD,RUNX1,2
3765,ASD,RXRB,2
3768,ASD,S100A10,3
3773,ASD,S100A16,3
3777,ASD,S1PR1,2
3780,ASD,SAE1,3
3782,ASD,SAMD12,2
3784,ASD,SAMD4A,2
3788,ASD,SAMD9L,2
3790,ASD,SAMM50,3
3792,ASD,SAP30L,2
3794,ASD,SARDH,2
3796,ASD,SARS2,2
3798,ASD,SAT1,3
3799,ASD,SBF2,3
3800,ASD,SBK1,2
3802,ASD,SBNO2,3
3805,ASD,SCAI,2
3806,ASD,SCAMP1,2
3808,ASD,SCAMP5,2
3811,ASD,SCHIP1,2
3813,ASD,SCN1A,2
3814,ASD,SCN1B,3
3815,ASD,SCN2A,3
3817,ASD,SCN4B,2
3818,ASD,SCN8A,3
3822,ASD,SCRIB,2
3825,ASD,SCRT1,2
3831,ASD,SDC1,3
3832,ASD,SDC2,3
3837,ASD,SDHA,2
3839,ASD,SDIM1,2
3843,ASD,SEC14L5,3
3846,ASD,SEC23A,3
3848,ASD,SEC61A1,3
3851,ASD,SECISBP2,2
3855,ASD,SEMA3G,2
3858,ASD,SEMA7A,3
3863,ASD,SEPT7P2,2
3867,ASD,SERINC3,3
3868,ASD,SERP1,3
3873,ASD,SERPINE1,2
3874,ASD,SERPING1,2
3879,ASD,SERTAD4,3
3881,ASD,SESN2,3
3883,ASD,SETD4,2
3888,ASD,SEZ6L2,3
3889,ASD,SFMBT2,3
3890,ASD,SFN,2
3892,ASD,SFTPD,2
3894,ASD,SGIP1,2
3899,ASD,SGSH,3
3901,ASD,SH2D4A,2
3906,ASD,SH3GLB1,2
3909,ASD,SH3TC1,2
3911,ASD,SHC1,3
3912,ASD,SHD,3
3931,ASD,SLA,2
3936,ASD,SLC12A2,2
3939,ASD,SLC15A3,2
3941,ASD,SLC16A3,2
3942,ASD,SLC16A7,2
3943,ASD,SLC16A9,2
3945,ASD,SLC1A3,2
3946,ASD,SLC1A4,2
3947,ASD,SLC1A5,2
3949,ASD,SLC22A15,3
3952,ASD,SLC24A2,3
3953,ASD,SLC25A1,2
3955,ASD,SLC25A12,3
3956,ASD,SLC25A14,2
3957,ASD,SLC25A15,2
3958,ASD,SLC25A20,2
3960,ASD,SLC25A3,3
3962,ASD,SLC25A36,3
3964,ASD,SLC25A4,2
3965,ASD,SLC25A40,3
3966,ASD,SLC25A43,3
3974,ASD,SLC27A4,3
3976,ASD,SLC29A1,3
3979,ASD,SLC2A12,3
3980,ASD,SLC2A3P2,2
3981,ASD,SLC2A4,2
3982,ASD,SLC2A4RG,3
3993,ASD,SLC35B3,2
3994,ASD,SLC35B4,3
4002,ASD,SLC35G1,2
4003,ASD,SLC36A1,3
4006,ASD,SLC38A1,2
4007,ASD,SLC38A11,2
4008,ASD,SLC38A5,3
4010,ASD,SLC39A10,2
4012,ASD,SLC3A2,3
4016,ASD,SLC44A3,3
4018,ASD,SLC45A1,3
4022,ASD,SLC4A8,3
4029,ASD,SLC6A6,2
4032,ASD,SLC7A11,3
4034,ASD,SLC7A2,2
4035,ASD,SLC7A6OS,2
4038,ASD,SLC8A1,2
4040,ASD,SLC8B1,2
4052,ASD,SMAD1,3
4059,ASD,SMARCA1,2
4064,ASD,SMG1,2
4065,ASD,SMG6,3
4067,ASD,SMIM14,2
4072,ASD,SMO,3
4078,ASD,SMURF2,2
4079,ASD,SMYD2,2
4082,ASD,SNAP25,2
4098,ASD,SNX14,3
4100,ASD,SNX17,2
4109,ASD,SOAT1,3
4113,ASD,SOD2,2
4118,ASD,SOWAHB,2
4119,ASD,SOX2,2
4121,ASD,SOX6,2
4124,ASD,SP110,2
4126,ASD,SPAG5,2
4133,ASD,SPATS2L,2
4134,ASD,SPDEF,2
4137,ASD,SPG20,2
4141,ASD,SPI1,2
4143,ASD,SPIN3,2
4149,ASD,SPPL2A,2
4150,ASD,SPPL2B,2
4152,ASD,SPR,2
4156,ASD,SPRY1,3
4159,ASD,SPRYD7,2
4161,ASD,SPTLC3,3
4163,ASD,SPTSSB,3
4164,ASD,SPTY2D1,3
4165,ASD,SQRDL,2
4166,ASD,SQSTM1,2
4171,ASD,SRGAP1,3
4173,ASD,SRI,2
4184,ASD,ST13,2
4188,ASD,ST5,2
4190,ASD,ST8SIA1,3
4192,ASD,ST8SIA5,2
4195,ASD,STAG3L4,2
4199,ASD,STAT3,3
4202,ASD,STAU2,2
4205,ASD,STIP1,2
4207,ASD,STK17A,3
4208,ASD,STK17B,3
4218,ASD,STOM,2
4220,ASD,STON2,3
4222,ASD,STRADA,2
4223,ASD,STRBP,3
4228,ASD,STX1B,2
4229,ASD,STX2,2
4233,ASD,STXBP4,2
4235,ASD,STXBP5-AS1,3
4236,ASD,STXBP5L,3
4238,ASD,STYXL1,2
4239,ASD,SUCLA2,3
4248,ASD,SULT4A1,2
4253,ASD,SUV39H1,2
4255,ASD,SV2A,2
4256,ASD,SV2B,3
4257,ASD,SVOP,2
4258,ASD,SWAP70,3
4268,ASD,SYNPO2,2
4271,ASD,SYT11,2
4272,ASD,SYT12,3
4273,ASD,SYT13,2
4276,ASD,SYT17,2
4277,ASD,SYT2,3
4278,ASD,SYT3,3
4281,ASD,SYTL3,2
4289,ASD,TADA1,3
4294,ASD,TAGLN3,2
4297,ASD,TAP1,2
4299,ASD,TARBP1,3
4301,ASD,TATDN2,2
4309,ASD,TBC1D4,2
4310,ASD,TBC1D7,3
4313,ASD,TBL1X,2
4316,ASD,TBRG1,2
4317,ASD,TCEA1,2
4319,ASD,TCEA3,3
4320,ASD,TCEAL7,2
4327,ASD,TCIRG1,2
4329,ASD,TCTEX1D1,2
4333,ASD,TEAD1,2
4335,ASD,TEP1,2
4337,ASD,TESC,2
4338,ASD,TESPA1,2
4344,ASD,TGFB1,2
4345,ASD,TGFB2,3
4347,ASD,TGFBR3,3
4349,ASD,TGIF1,3
4352,ASD,THAP2,3
4353,ASD,THBS1,2
4362,ASD,TIMM17A,3
4363,ASD,TIMP1,2
4369,ASD,TKT,2
4371,ASD,TLE1,2
4373,ASD,TLN1,2
4378,ASD,TLR4,2
4382,ASD,TM7SF2,2
4388,ASD,TMCO4,2
4390,ASD,TMED5,3
4392,ASD,TMEM100,2
4401,ASD,TMEM155,2
4404,ASD,TMEM167B,3
4405,ASD,TMEM169,3
4408,ASD,TMEM176A,3
4409,ASD,TMEM176B,2
4410,ASD,TMEM177,2
4412,ASD,TMEM179,2
4413,ASD,TMEM194B,2
4421,ASD,TMEM26,2
4424,ASD,TMEM38A,2
4426,ASD,TMEM41A,2
4428,ASD,TMEM47,3
4434,ASD,TMEM63B,2
4436,ASD,TMEM72-AS1,2
4437,ASD,TMEM8A,2
4440,ASD,TMOD3,3
4445,ASD,TMX4,3
4446,ASD,TNFAIP3,2
4448,ASD,TNFRSF10B,3
4450,ASD,TNFRSF10D,3
4451,ASD,TNFRSF11B,3
4452,ASD,TNFRSF12A,2
4453,ASD,TNFRSF1A,3
4456,ASD,TNFSF13B,3
4459,ASD,TNIP2,3
4467,ASD,TOMM20,2
4471,ASD,TOP1,2
4472,ASD,TOP2B,2
4473,ASD,TOPBP1,3
4475,ASD,TOR1A,3
4477,ASD,TOR1AIP2,3
4478,ASD,TOR1B,2
4483,ASD,TP53BP2,2
4489,ASD,TPD52L1,2
4490,ASD,TPD52L2,3
4493,ASD,TPP1,2
4494,ASD,TPP2,2
4501,ASD,TRAF3IP2,2
4503,ASD,TRAPPC11,2
4510,ASD,TRIM14,2
4513,ASD,TRIM21,2
4516,ASD,TRIM25,3
4518,ASD,TRIM27,2
4519,ASD,TRIM3,2
4521,ASD,TRIM37,3
4523,ASD,TRIM4,3
4526,ASD,TRIM5,2
4527,ASD,TRIM52,2
4528,ASD,TRIM56,2
4537,ASD,TRPC1,2
4538,ASD,TRPC3,2
4539,ASD,TRPC4AP,2
4541,ASD,TRPS1,3
4547,ASD,TSNAX,2
4550,ASD,TSPAN5,2
4556,ASD,TTBK2,2
4558,ASD,TTC19,2
4559,ASD,TTC23,2
4562,ASD,TTC37,2
4569,ASD,TTLL7,3
4574,ASD,TUBA4A,3
4576,ASD,TUBB2B,2
4578,ASD,TUBB6,2
4579,ASD,TUBG1,3
4580,ASD,TUBG2,2
4587,ASD,TXLNA,3
4591,ASD,TXNL4B,2
4592,ASD,TXNRD1,3
4602,ASD,UBAP1L,2
4610,ASD,UBE2L6,2
4611,ASD,UBE2N,2
4615,ASD,UBE2QL1,3
4618,ASD,UBE3A,2
4622,ASD,UBL7,3
4623,ASD,UBLCP1,2
4625,ASD,UBR3,2
4627,ASD,UBTD1,3
4630,ASD,UCHL5,3
4632,ASD,UCP2,2
4633,ASD,UGDH,3
4644,ASD,UNC80,2
4645,ASD,UNC93B1,2
4646,ASD,UNG,2
4647,ASD,UPF1,2
4651,ASD,UQCRC1,2
4653,ASD,UQCRFS1,2
4655,ASD,UQCRH,3
4658,ASD,USF1,2
4664,ASD,USP18,2
4665,ASD,USP19,2
4667,ASD,USP32,3
4668,ASD,USP33,3
4671,ASD,USP39,2
4675,ASD,USP53,2
4679,ASD,UVRAG,2
4680,ASD,VAMP1,3
4686,ASD,VASP,3
4692,ASD,VDAC3,3
4697,ASD,VIM,3
4703,ASD,VPS11,3
4705,ASD,VPS16,2
4711,ASD,VPS36,3
4720,ASD,VSTM5,2
4725,ASD,VWC2,3
4730,ASD,WBP1L,3
4731,ASD,WBP5,3
4735,ASD,WDR1,3
4736,ASD,WDR12,2
4738,ASD,WDR35,2
4741,ASD,WDR54,2
4742,ASD,WDR6,2
4749,ASD,WDR78,2
4751,ASD,WEE1,3
4757,ASD,WLS,2
4760,ASD,WNT9B,2
4762,ASD,WSCD1,3
4764,ASD,WWTR1,3
4768,ASD,XPO1,3
4774,ASD,YAP1,3
4779,ASD,YEATS4,2
4788,ASD,ZBBX,2
4789,ASD,ZBED5,2
4790,ASD,ZBTB1,2
4791,ASD,ZBTB10,3
4801,ASD,ZC3H12A,2
4805,ASD,ZC3HAV1,3
4810,ASD,ZDHHC17,2
4814,ASD,ZFAND6,3
4817,ASD,ZFP14,2
4819,ASD,ZFP36L1,3
4821,ASD,ZFR,3
4831,ASD,ZMYM1,3
4835,ASD,ZNF117,2
4840,ASD,ZNF217,3
4841,ASD,ZNF223,2
4842,ASD,ZNF25,3
4847,ASD,ZNF33A,2
4849,ASD,ZNF365,3
4850,ASD,ZNF385B,3
4858,ASD,ZNF449,2
4860,ASD,ZNF468,2
4862,ASD,ZNF48,2
4866,ASD,ZNF516,3
4868,ASD,ZNF554,2
4885,ASD,ZNF711,2
4889,ASD,ZNF740,2
4890,ASD,ZNF761,2
4895,ASD,ZNF804B,3
4899,ASD,ZNF844,2
4904,ASD,ZRANB1,2
4911,ASD,ZYG11B,2
4912,MDD,A2M,1
4913,MDD,ABCC4,1
4914,MDD,ACTG1,1
4915,MDD,ADAM11,1
4916,MDD,ADORA3,1
4917,MDD,AIF1,1
4918,MDD,AKAP12,1
4919,MDD,ALOX5AP,1
4920,MDD,APBB1IP,1
4921,MDD,APOC1,1
4922,MDD,ARHGAP30,1
4923,MDD,ARHGDIB,1
4924,MDD,ARPC1B,1
4925,MDD,ARRDC3,1
4926,MDD,B4GALNT1,1
4927,MDD,BHLHE41,1
4928,MDD,BMP2K,1
4929,MDD,C12orf75,1
4930,MDD,C1QA,1
4931,MDD,C1QB,1
4932,MDD,C1QC,1
4933,MDD,C3,1
4934,MDD,C3AR1,1
4935,MDD,CACNA1I,1
4936,MDD,CARD8-AS1,1
4937,MDD,CD3EAP,1
4938,MDD,CD53,1
4939,MDD,CD74,1
4940,MDD,CDC42EP3,1
4941,MDD,CDK12,1
4942,MDD,CDK5R1,1
4943,MDD,CDK5R2,1
4944,MDD,CHML,1
4945,MDD,CITED2,1
4946,MDD,CLEC17A,1
4947,MDD,CLSPN,1
4948,MDD,CMTM6,1
4949,MDD,CNTNAP1,1
4950,MDD,COL26A1,1
4951,MDD,COL8A2,1
4952,MDD,CRLF3,1
4953,MDD,CRYBB1,1
4954,MDD,CRYM,1
4955,MDD,CSK,1
4956,MDD,CTD-2023N9.3,1
4957,MDD,CTD-2368P22.1,1
4958,MDD,CTD-3247H4.2,1
4959,MDD,CTSS,1
4960,MDD,CYBA,1
4961,MDD,CYBB,1
4962,MDD,CYP2U1,1
4963,MDD,DEAF1,1
4964,MDD,DEF6,1
4965,MDD,DENND1C,1
4966,MDD,DNAJC5G,1
4967,MDD,DOCK8,1
4968,MDD,DUSP28,1
4969,MDD,EBI3,1
4970,MDD,EDNRB,1
4971,MDD,EVI2B,1
4972,MDD,EXOC6B,1
4973,MDD,EXPH5,1
4974,MDD,FBXW4,1
4975,MDD,FCER1G,1
4976,MDD,FCGR3A,1
4977,MDD,FERMT3,1
4978,MDD,FGFBP2,1
4979,MDD,GABRB2,1
4980,MDD,GABRD,1
4981,MDD,GBAP1,1
4982,MDD,GHDC,1
4983,MDD,GIMAP6,1
4984,MDD,GJD2,1
4985,MDD,GLIS2,1
4986,MDD,GPR34,1
4987,MDD,GPR61,1
4988,MDD,HAPLN1,1
4989,MDD,HAVCR2,1
4990,MDD,HCFC1R1,1
4991,MDD,HECW2,1
4992,MDD,HEY2,1
4993,MDD,HLA-DPA1,1
4994,MDD,HMGB2,1
4995,MDD,HOOK3,1
4996,MDD,HSD17B6,1
4997,MDD,IGSF6,1
4998,MDD,IMPG1,1
4999,MDD,IPO11,1
5000,MDD,IQCK,1
5001,MDD,IRF8,1
5002,MDD,ITGB2,1
5003,MDD,JAM2,1
5004,MDD,KCNH4,1
5005,MDD,KCNIP2,1
5006,MDD,KCNJ16,1
5007,MDD,LAPTM5,1
5008,MDD,LAT2,1
5009,MDD,LCP1,1
5010,MDD,LGALS9,1
5011,MDD,LGI2,1
5012,MDD,LINC00672,1
5013,MDD,LINC01007,1
5014,MDD,LINC01140,1
5015,MDD,LINC01331,1
5016,MDD,LRRC53,1
5017,MDD,LRRC69,1
5018,MDD,LYN,1
5019,MDD,MAP3K4,1
5020,MDD,MCAT,1
5021,MDD,MED28,1
5022,MDD,MED8,1
5023,MDD,MGEA5,1
5024,MDD,MIR4500HG,1
5025,MDD,MS4A6A,1
5026,MDD,MTHFD2L,1
5027,MDD,NAPSB,1
5028,MDD,NCKAP1L,1
5029,MDD,NFS1,1
5030,MDD,NOG,1
5031,MDD,OLR1,1
5032,MDD,P2RY13,1
5033,MDD,PGAM1,1
5034,MDD,PHGDH,1
5035,MDD,PIK3AP1,1
5036,MDD,PLAGL1,1
5037,MDD,PLD4,1
5038,MDD,PLEK,1
5039,MDD,PNMAL2,1
5040,MDD,PTGS1,1
5041,MDD,PTPN6,1
5042,MDD,PTPRC,1
5043,MDD,RASL11A,1
5044,MDD,RASSF3,1
5045,MDD,RFXAP,1
5046,MDD,RGS10,1
5047,MDD,RNASE2,1
5048,MDD,RP11-1016B18.1,1
5049,MDD,RP11-284F21.8,1
5050,MDD,RP11-513I15.6,1
5051,MDD,RP11-552D4.1,1
5052,MDD,RP11-63G10.4,1
5053,MDD,RP11-66N24.4,1
5054,MDD,RP11-847H18.3,1
5055,MDD,RP11-946L16.2,1
5056,MDD,RPL8,1
5057,MDD,RSPO2,1
5058,MDD,S100A11,1
5059,MDD,SAMSN1,1
5060,MDD,SASH3,1
5061,MDD,SCARNA5,1
5062,MDD,SCARNA6,1
5063,MDD,SCIN,1
5064,MDD,SETD4,1
5065,MDD,SEZ6L2,1
5066,MDD,SLA,1
5067,MDD,SLC39A10,1
5068,MDD,SLCO1C1,1
5069,MDD,SOCS6,1
5070,MDD,SPN,1
5071,MDD,SPX,1
5072,MDD,SRSF6,1
5073,MDD,ST6GAL1,1
5074,MDD,ST8SIA4,1
5075,MDD,STARD5,1
5076,MDD,SVOP,1
5077,MDD,SYK,1
5078,MDD,TAL1,1
5079,MDD,TCEA1P2,1
5080,MDD,TCTA,1
5081,MDD,TLR7,1
5082,MDD,TMEM119,1
5083,MDD,TMEM200C,1
5084,MDD,TMIGD2,1
5085,MDD,TPST2,1
5086,MDD,U1,1
5087,MDD,UCP2,1
5088,MDD,USP6NL,1
5089,MDD,VSTM2L,1
5090,MDD,WDR81,1
5091,MDD,ZNF442,1
5092,MDD,ZNF720,1
5093,MDD,ZNRF2P3,1
5096,SCZ,A2M,2
5101,SCZ,ABCA17P,2
5109,SCZ,ABCC12,2
5121,SCZ,ABL2,2
5122,SCZ,ABLIM2,2
5200,SCZ,ACADL,2
5227,SCZ,ACVR2A,2
5230,SCZ,ACYP2,2
5232,SCZ,ADAM11,2
5238,SCZ,ADAMTS2,2
5244,SCZ,ADAMTS9-AS2,2
5248,SCZ,ADARB2,2
5252,SCZ,ADCY2,2
5255,SCZ,ADCYAP1,2
5256,SCZ,ADCYAP1R1,2
5263,SCZ,ADNP,2
5265,SCZ,ADO,2
5276,SCZ,AEBP2,2
5291,SCZ,AGT,2
5299,SCZ,AIDA,2
5303,SCZ,AIMP2,2
5305,SCZ,AK4,2
5310,SCZ,AKIRIN2,2
5316,SCZ,ALDH1A1,4
5336,SCZ,ALPL,2
5341,SCZ,ANAPC15,2
5353,SCZ,ANKMY1,2
5367,SCZ,ANKRD6,4
5398,SCZ,AP5S1,2
5404,SCZ,API5,2
5418,SCZ,AQP6,2
5433,SCZ,ARHGAP27,2
5434,SCZ,ARHGAP28,2
5445,SCZ,ARHGEF28,2
5446,SCZ,ARHGEF3,2
5457,SCZ,ARL4D,2
5469,SCZ,ASB13,2
5479,SCZ,ASPHD1,2
5488,SCZ,ATG4D,2
5496,SCZ,ATP1B1,2
5505,SCZ,ATP6V1C2,2
5513,SCZ,ATRNL1,2
5514,SCZ,ATRX,2
5523,SCZ,B3GALT4,2
5524,SCZ,B3GALT6,2
5529,SCZ,B4GALT2,2
5534,SCZ,BAD,2
5540,SCZ,BAI2,2
5558,SCZ,BCCIP,2
5567,SCZ,BCL6,2
5574,SCZ,BEND6,2
5582,SCZ,BIRC3,2
5586,SCZ,BLOC1S1,2
5642,SCZ,C15orf59,2
5667,SCZ,C1orf222,2
5670,SCZ,C1orf61,2
5674,SCZ,C20orf166-AS1,2
5680,SCZ,C21orf62,2
5694,SCZ,C3orf52,2
5708,SCZ,C5orf51,3
5720,SCZ,C9orf16,2
5728,SCZ,CA4,2
5735,SCZ,CACNA1H,2
5745,SCZ,CALB1,2
5753,SCZ,CAMK2G,2
5775,SCZ,CASQ2,2
5777,SCZ,CAV2,2
5778,SCZ,CBFB,2
5863,SCZ,CDH13,2
5870,SCZ,CDK14,2
5871,SCZ,CDK16,2
5904,SCZ,CEP112,2
5908,SCZ,CEP97,2
5924,SCZ,CHD2,2
5934,SCZ,CHORDC1,2
5940,SCZ,CHRDL1,3
5943,SCZ,CHRM4,2
5945,SCZ,CHRNA2,2
5955,SCZ,CIB1,2
5959,SCZ,CINP,2
5975,SCZ,CLEC11A,2
5976,SCZ,CLEC14A,2
5980,SCZ,CLEC3B,2
5982,SCZ,CLEC7A,2
5988,SCZ,CLN6,2
6006,SCZ,CNDP1,2
6008,SCZ,CNGB1,2
6011,SCZ,CNKSR3,2
6015,SCZ,CNOT6,2
6016,SCZ,CNOT6L,2
6020,SCZ,CNTN3,2
6031,SCZ,COL16A1,2
6043,SCZ,COL5A3,2
6047,SCZ,COL9A2,2
6048,SCZ,COL9A3,2
6058,SCZ,COQ10A,2
6064,SCZ,COX5A,2
6065,SCZ,COX7A1,2
6067,SCZ,COX8A,2
6071,SCZ,CPED1,2
6072,SCZ,CPLX1,2
6073,SCZ,CPLX2,2
6078,SCZ,CPNE8,2
6079,SCZ,CPNE9,3
6091,SCZ,CRIM1,2
6184,SCZ,CX3CR1,2
6189,SCZ,CXXC4,2
6193,SCZ,CXorf57,3
6205,SCZ,CYP1B1-AS1,2
6208,SCZ,CYP26B1,2
6210,SCZ,CYP46A1,2
6221,SCZ,DAAM1,2
6223,SCZ,DAB1,3
6227,SCZ,DALRD3,2
6234,SCZ,DBNL,2
6247,SCZ,DCP2,3
6275,SCZ,DERL1,2
6280,SCZ,DGCR5,2
6285,SCZ,DGKZ,2
6289,SCZ,DHDDS,2
6304,SCZ,DIRAS2,2
6314,SCZ,DLGAP1-AS4,2
6328,SCZ,DNAJA4,2
6338,SCZ,DNAJC4,2
6339,SCZ,DNAJC5G,2
6357,SCZ,DOCK8,2
6365,SCZ,DPP4,2
6372,SCZ,DPYSL3,2
6388,SCZ,DTWD1,2
6406,SCZ,E2F1,2
6425,SCZ,EFCAB12,2
6431,SCZ,EFHC2,2
6432,SCZ,EFHD2,2
6445,SCZ,EIF2AK2,2
6470,SCZ,EMBP1,2
6504,SCZ,EPB41L5,2
6512,SCZ,EPHA6,2
6513,SCZ,EPHA8,3
6520,SCZ,EPM2A,2
6521,SCZ,EPM2AIP1,2
6530,SCZ,ERCC1,2
6553,SCZ,ETS2,2
6569,SCZ,EXTL1,2
6573,SCZ,F2R,2
6575,SCZ,F7,2
6590,SCZ,FAM110C,2
6595,SCZ,FAM122B,2
6598,SCZ,FAM131B,2
6616,SCZ,FAM184B,2
6627,SCZ,FAM211A,2
6635,SCZ,FAM49B,2
6640,SCZ,FAM65B,2
6646,SCZ,FAM78A,4
6658,SCZ,FARP1,2
6664,SCZ,FBLN7,3
6679,SCZ,FBXO9,2
6684,SCZ,FCHO2,2
6691,SCZ,FEM1B,2
6692,SCZ,FEM1C,2
6696,SCZ,FEZ1,3
6702,SCZ,FGF13,2
6711,SCZ,FHL1,2
6715,SCZ,FIS1,2
6717,SCZ,FKBP14,2
6728,SCZ,FLYWCH2,3
6729,SCZ,FMNL1,3
6737,SCZ,FNDC4,2
6738,SCZ,FNDC5,2
6739,SCZ,FNIP2,2
6751,SCZ,FOXN2,2
6767,SCZ,FSCN1,2
6780,SCZ,FXR1,2
6792,SCZ,G3BP1,2
6795,SCZ,GABRA5,3
6796,SCZ,GABRB3,2
6811,SCZ,GALNT16,2
6848,SCZ,GHR,3
6853,SCZ,GIMAP6,2
6874,SCZ,GLRA3,2
6885,SCZ,GMPR,2
6894,SCZ,GNG7,2
6896,SCZ,GNPTG,2
6927,SCZ,GPR183,2
6963,SCZ,GRIN3A,2
6978,SCZ,GSTZ1,2
6994,SCZ,GXYLT1,2
6995,SCZ,GXYLT2,3
7010,SCZ,HAP1,2
7018,SCZ,HAVCR2,2
7020,SCZ,HBG2,2
7035,SCZ,HELZ,2
7043,SCZ,HGF,2
7054,SCZ,HIGD2A,2
7056,SCZ,HINT2,2
7088,SCZ,HNRNPH3,2
7093,SCZ,HOOK1,2
7097,SCZ,HPCAL1,2
7100,SCZ,HPSE2,3
7101,SCZ,HR,3
7106,SCZ,HS3ST1,2
7123,SCZ,HSPA12B,2
7167,SCZ,IGF2,2
7172,SCZ,IGFBP6,3
7176,SCZ,IGIP,2
7182,SCZ,IKZF5,3
7186,SCZ,IL13RA2,2
7197,SCZ,IL1RL1,2
7213,SCZ,INPP5D,2
7215,SCZ,INSIG2,2
7218,SCZ,INTU,3
7230,SCZ,IRF6,2
7237,SCZ,ISLR,2
7246,SCZ,ITGAX,2
7251,SCZ,ITIH2,2
7254,SCZ,ITM2A,2
7261,SCZ,IVNS1ABP,2
7274,SCZ,JMY,2
7276,SCZ,JRKL,2
7277,SCZ,KAL1,2
7278,SCZ,KANK4,2
7279,SCZ,KAZALD1,2
7288,SCZ,KCNA1,2
