id,C1,C2,C3,label
111,-0.7339280550915644,0.8684805502046916,0.36142168327032564,AVI
114,-1.01573006212208,-0.45944923515064606,-0.48484251356997177,FOP3
116,0.4195564759133475,0.20230616631351264,-0.06752586249348405,PFt
117,0.8675870897661045,0.24403256164613454,0.7128192566201658,AIP
118,-1.249292352243336,-0.4463956203074306,-2.6323208757656444,EC
119,-0.9720391518336978,-1.560680636600335,-1.8501324746740282,PreS
122,-1.8975275022728428,-1.1348781754903505,-1.7962054586967755,PeEc
123,-1.679049425632534,-1.354940793121449,-0.11293695920284479,STGa
124,1.159719310129255,-1.016632039372627,-1.0447965819051526,PBelt
125,-0.23914840516304028,-0.21186646089212338,1.0652297860265418,A5
126,-1.0377576192406681,-1.122245506766872,-1.6585618968157478,PHA1
127,-1.069801924931793,-1.6232531226893816,0.4739981299515964,PHA3
