,C1,C2,C3
ABLIM1,0.04143803806916586,0.2093883913612507,-0.3879854378451823
ABLIM2,-0.7704648762485233,-0.07039801021859617,0.34889805260178586
ABLIM3,-0.819973854683783,0.21139234962277356,0.061058840504501284
ABR,-0.4649579678631799,-0.3557823751057643,0.13100506477209717
ABRACL,0.574114594220535,0.06033232833917891,0.40048137336641193
ABTB1,0.7402672399801714,0.397369425928358,0.31367697769789954
ABTB2,0.6485196583804982,0.20866405862099438,-0.5430796880048577
ACADL,-0.7752369310206689,0.003084291130915726,-0.08716918604903484
ACADS,-0.4686123571716835,0.1336692720976483,-0.06378510804204164
ACADSB,0.46858221687006874,-0.5328133364582919,-0.2113044408180061
ACAN,0.902674118753474,0.20412543799718214,-0.2653477022559566
ACAP3,-0.2669711817931668,-0.6042365170208917,0.14122469696741746
ACAT2,-0.5382440143749911,0.5869810489436537,0.13870977966481243
ACER3,0.5068559596105146,0.2574363042028837,-0.1674135045619866
ACHE,0.21945345343663675,0.640585304158459,0.049623447334649656
ACKR1,-0.2757365457835334,-0.44344221463300504,0.34314049194624846
ACKR3,-0.776443317611602,-0.0967586910404455,0.004164059413156393
ACO1,-0.014548363354624633,-0.067155796175248,-0.49489436491810374
ACO2,-0.3617989245354538,0.39933552550654644,-0.23125825324772784
ACOT13,-0.1954642421663047,0.7031036384321423,-0.08795183283003888
ACOT2,-0.8871898137149833,-0.07507066712364557,0.049426863308609396
ACOT8,-0.6455945353383643,0.4924537020427598,0.09578380698121565
ACOX2,-0.5581661665054338,0.14415017124933277,-0.15780911472377426
ACOX3,-0.697291408942189,0.15969682779616617,0.15489479657001776
ACP1,-0.8177641784863056,0.04675476166417804,0.11615492401453507
ACSF2,-0.5999166779267515,-0.014200291460354304,-0.12744232728640797
ACSF3,0.7130595592172375,0.1761263786836475,0.10813456412946745
ACSL1,0.10674078451726002,0.1419910444422942,-0.30220334086932166
ACSL3,0.6365000599765577,-0.049202419179064164,0.4350673838527577
ACSL4,-0.7993639366678073,0.06681906824696611,0.2547455054683817
ACSL6,0.8874383604321605,0.1084648647142781,-0.13781243422728587
ACSS2,0.6013642124524742,0.33567170714283595,-0.120453049742639
ACSS3,-0.41393429753107086,0.11967095402495735,-0.1178155714879815
ACTA1,-0.4800182707666084,0.6476015618847247,0.1507339231698964
ACTB,-0.695996881568567,0.1377636001368466,0.06614533681656307
ACTC1,-0.579330576984973,0.6018186800135429,0.11349748357347758
ACTG1,-0.8208780716948089,0.1870386510489631,0.06702869837820695
ACTG1P4,-0.6458981091260831,0.14603006261611265,-0.12475149893533416
ACTL6A,-0.06721409444874925,0.20207426353520777,-0.5349852933438249
ACTN1,-0.36173488365343076,-0.2235041856920373,0.5024537845146988
ACTN2,-0.19637999281441107,0.5259411499209358,0.4734819487492634
ACTN4,0.7975425629549255,0.11017970400175416,0.15525507961817772
ACTR10,-0.8307574741922595,0.20035253313760515,0.11052440235951562
ACTR1A,-0.647876458396815,0.5231143084851196,0.19861492339862893
ACTR1B,0.7427593141876955,-0.15320626420776526,0.35855497974266365
ACTR3,-0.5809233064939129,0.23282742178317686,-0.045042969617291324
ACTR3B,-0.838705067054484,0.008564599563737856,0.14028234923710117
ACTR3C,-0.4015459454278221,0.14170920637147574,-0.44250120858809955
ACTR5,0.07938275611792828,-0.5967458196326016,0.2327719603100419
ACVR1,0.406995317132817,-0.07502684978588528,-0.3554379681729866
ACVR1C,0.787948882635165,0.14945413629638846,-0.14288841686150272
ACVR2A,-0.756948120234149,-0.4337569730074987,0.14744845810157867
ACVR2B,-0.6472480478138148,-0.2890320193198103,0.21199930942209735
ACVRL1,0.3314244193672542,0.4321601758265818,-0.2210125140955619
ACY3,-0.4956150283893773,0.08004175753098944,-0.2920228398352674
ACYP2,0.7776561965367745,0.3025693294130278,-0.16791503446265588
ADAD2,0.003923774988969394,-0.11362880584419639,-0.2724039711448362
ADAL,0.38026831528075516,0.07323915063643062,-0.29790223938856936
ADAM15,0.5121305849921516,-0.05822977330694186,-0.47270431195506973
ADAM17,-0.07675005075382971,-0.3164326607375338,-0.17695484201420433
ADAM20P1,0.4510609105521551,-0.15350711450337778,0.3493757053830934
ADAM22,0.8333934849548865,0.18645293731881762,0.19664082223606505
ADAM23,0.9139517243372108,0.29159800278828646,0.07551668001834047
ADAM28,-0.5963660548828144,0.044410033411594434,-0.32329151322826744
ADAM8,0.5632625065034668,-0.4013425245957543,0.13829910406022544
ADAM9,0.5743246880042274,-0.3489242163751638,-0.02100961570230018
ADAMTS13,0.735113904367035,-0.22559994929837301,0.06182656939710176
ADAMTS19,-0.673813871660953,0.10500279204111476,-0.06869047823679848
ADAMTS2,0.1739667070379124,0.46025453543582623,-0.0467015902818559
ADAMTS3,-0.734213170613944,0.1571773783402169,0.40916571540741425
ADAMTS4,0.23188695781534724,0.3241786354945453,-0.3989482836198667
ADAMTS5,0.7648351368332434,0.18013494674978792,0.1422875646473248
ADAMTS8,-0.5355211634861667,-0.10073058305655977,0.4275301053608242
ADAMTS9,-0.6588242184310434,0.3023896555100144,-0.3903812663966717
ADAMTSL1,0.4397246994485515,-0.5163527312840255,-0.09308493148757126
ADAMTSL2,-0.4374221798971793,0.49121090480254803,-0.147596262437591
ADAMTSL3,-0.34144500626764107,0.4820720603003941,-0.4510510764779175
ADAP2,-0.7408607953853413,0.057172617002545376,-0.2901745568982148
ADARB2-AS1,0.1303890485173003,0.4971948929476035,-0.4818527036470822
ADCY1,0.5061188397647438,0.26908645448204344,-0.014042559079164857
ADCY2,-0.689970039454924,0.31528315586832795,0.133351274470584
ADCY3,0.5114103519626458,-0.3766046373357857,0.04731200260939531
ADCY4,0.3156590812101396,0.4007660403715072,-0.2538595573254937
