id,G1,G2,G3,label
84,-0.2754132972663634,1.355260735331146,-0.5147060479424098,46
85,-0.16625074919035965,0.8597041499150146,-0.9573596902461793,a9-46v
86,-0.37476285696118716,0.792663052765392,-0.6093153396657914,9-46d
87,-0.3221803858960894,0.8292171429164774,-1.1594020299563643,9a
88,-1.15185677918289,-0.012145693136704968,-0.3493293704942695,10v
89,-0.3176478890955735,0.677639540451014,-0.9980184486223934,a10p
90,-0.7043642581633482,0.05834958190344347,-0.5897183426398429,10pp
91,-0.5305991223473842,0.5063078172543847,-0.9498655606635312,11l
92,-0.9233047147451142,0.4913399852830143,-0.5143658578780467,13l
93,-1.4130786224433323,-0.2139161877957515,-0.4781186493566573,OFC
94,-1.4717207673056285,-0.2628106354183962,0.07021960895039558,47s
95,0.7339292366546908,0.3461618030439739,0.13007719730585474,LIPd
